source_cell,reference_index,reference_type,target_cell,target_exists,columns,rows
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,0,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,1,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,2,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,3,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,4,SREF,DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,5,SREF,REUSABLE_AFTER__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,6,SREF,DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,7,SREF,REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,8,SREF,DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,9,SREF,REUSABLE_AFTER__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,10,SREF,DEBUG_BEFORE__PINV_NW360_PW1080_L50__PINV_NW360_PW1080_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,11,SREF,REUSABLE_AFTER__PINV_NW360_PW1080_L50__PINV_NW360_PW1080_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,12,SREF,DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,13,SREF,REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,14,SREF,DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,15,SREF,REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,16,SREF,DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,17,SREF,REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,18,SREF,DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,True,1,1
M12C3A4R_LABEL_CLEANUP_REVIEW_ATLAS,19,SREF,REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50,0,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,0,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,1,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,2,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,3,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,4,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_contact_11,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,0,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,1,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,0,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,1,SREF,DEBUG_BEFORE__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50,0,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,0,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,1,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,2,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,3,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_core,4,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_contact_11,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,0,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_pmos_m1_w0_270_sm1_dm1_da_p,1,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,0,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,1,SREF,REUSABLE_AFTER__PINV_NW180_PW270_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50,0,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,0,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,1,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,2,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,3,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,4,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_contact_11,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,0,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,1,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,0,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,1,SREF,DEBUG_BEFORE__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50,0,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,0,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,1,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,2,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,3,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_core,4,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_contact_11,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,0,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50_pmos_m1_w0_540_sm1_dm1_da_p,1,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,0,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW270_L50_nmos_m1_w0_180_sm1_dm1_da_p,1,SREF,REUSABLE_AFTER__PINV_NW180_PW540_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50,0,SREF,DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50_core,True,1,1
DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50_core,0,SREF,DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50_pmos_m13_w0_560_sm1_dm1_da_p,True,1,1
DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50_core,1,SREF,DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50_nmos_m13_w0_188_sm1_dm1_da_p,True,1,1
DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50_core,2,SREF,DEBUG_BEFORE__PINV_NW2430_PW7290_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
