cell_name,generation_status,gds_path,cache_key,reference_configs,logical_source_paths
PINV_NW180_PW270_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW180_PW270_L50/PINV_NW180_PW270_L50.gds,43ff85e0ee97a2ea2ae724ce,16x16|64x8,D_latch.inv1
PINV_NW180_PW540_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW180_PW540_L50/PINV_NW180_PW540_L50.gds,e70b925aed05c4c93729e940,16x16|64x8,DFF_BUF.inv1
PINV_NW2430_PW7290_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW2430_PW7290_L50/PINV_NW2430_PW7290_L50.gds,b1d57331d6d4545a62baede7,16x16|64x8,pdrive.inv4
PINV_NW250_PW500_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,51a32ce3e1b7caaefab60496,16x16|64x8,dff.inv_dff
PINV_NW270_PW810_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW270_PW810_L50/PINV_NW270_PW810_L50.gds,a685044ad818017f5b212b70,16x16|64x8,pdrive.inv2|pdrive2_for_pre.inv2
PINV_NW360_PW1080_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW360_PW1080_L50/PINV_NW360_PW1080_L50.gds,ce125f7c04e246851ed8879c,16x16|64x8,DFF_BUF.inv2
PINV_NW450_PW1350_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW450_PW1350_L50/PINV_NW450_PW1350_L50.gds,5d03d7ec037280dc0ed0b2f7,16x16|64x8,wl_pdrive.inv2
PINV_NW90_PW270_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,9fe2f90c30344295dc62fc44,16x16|64x8,AND2.inv_driver|AND3.inv_driver|DelayChain.inv|TIME.inv_clk_bar|TIME.inv_rbl_delay_bar|TIME.inv_wl_en_bar|WenDelayChain.inv|pdrive.inv1|pdrive2_for_pre.inv1|wl_pdrive.inv1
PINV_NW910_PW2430_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW910_PW2430_L50/PINV_NW910_PW2430_L50.gds,d74a1cfe3bf4d503bb9db3b2,16x16|64x8,pdrive.inv3
TRANSMISSION_GATE_NW250_PW500_L50,GENERATED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50.gds,tg_ref_250_500_50,16x16|64x8,TransmissionGate
