logical_alias,source_context,physical_variant,canonical_physical_name,nmos_width_nm,pmos_width_nm,channel_length_nm,generation_priority,required_generator_level,candidate_existing_generator_path
NMOS_DEVICE,,NMOS_NW{nmos}_L{length},NMOS_NW{nmos}_L{length},90,,50,P0_REQUIRED_FIRST,DEVICE,/data1/qujh/OpenRAM/compiler/modules/ptx.py
PMOS_DEVICE,,PMOS_PW{pmos}_L{length},PMOS_PW{pmos}_L{length},,90,50,P0_REQUIRED_FIRST,DEVICE,/data1/qujh/OpenRAM/compiler/modules/ptx.py
CONTACT,,CONTACT_{stack}_{dims},CONTACT_{stack}_{dims},,,,P0_REQUIRED_FIRST,DEVICE,/data1/qujh/OpenRAM/compiler/base/contact.py
VIA1,,VIA1_{dims},VIA1_{dims},,,,P0_REQUIRED_FIRST,DEVICE,/data1/qujh/OpenRAM/compiler/base/contact.py
POWER_TAP,,POWER_TAP_{well}_{dims},POWER_TAP_{well}_{dims},,,,P0_REQUIRED_FIRST,DEVICE,/data1/qujh/OpenRAM/compiler/base/contact.py
PINV,TIME.inv_clk_bar,NW90|PW270|L50,PINV_NW90_PW270_L50,90,270,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV,TIME.inv_rbl_delay_bar,NW90|PW270|L50,PINV_NW90_PW270_L50,90,270,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV,AND2.inv_driver,NW90|PW270|L50,PINV_NW90_PW270_L50,90,270,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV,AND3.inv_driver,NW90|PW270|L50,PINV_NW90_PW270_L50,90,270,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV,D_latch.inv1,NW180|PW270|L50,PINV_NW180_PW270_L50,180,270,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV1,pdrive.inv1,"NW(90*(max(1.0, float(drive_scale))**0.25))|PW(270*(max(1.0, float(drive_scale))**0.25))|L50",PINV_7BEF9676_NW90_PW270_L50,"(90*(max(1.0, float(drive_scale))**0.25))","(270*(max(1.0, float(drive_scale))**0.25))",50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV1,pdrive2_for_pre.inv1,"NW(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))|PW(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))|L50",PINV_FEDF48F1_NW90_PW270_L50,"(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))","(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))",50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
PINV1,wl_pdrive.inv1,NW90|PW270|L50,PINV_NW90_PW270_L50,90,270,50,P0_REQUIRED_FIRST,PRIMITIVE_GATE,/data1/qujh/OpenRAM/compiler/modules/pinv.py
