source_file,source_class,source_function,source_line,parent_logical_module,python_variable_name,num_argument,generated_logical_name,nmos_width,pmos_width,length,drive_scale,operation_dependency,row_dependency,column_dependency,parameter_expression,parameter_resolution_status,nmos_width_nm,pmos_width_nm,length_nm,canonical_physical_cell_name,canonical_parameter_tuple,cache_key,source_trace_hash
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,__init__,65,pdrive,inv1,1,PINV1,"(9e-08*(max(1.0, float(drive_scale))**0.25))","(2.7e-07*(max(1.0, float(drive_scale))**0.25))",5e-08,"(9e-08*(max(1.0, float(drive_scale))**0.25))",none,none,none,"nmos=(9e-08*(max(1.0, float(drive_scale))**0.25))|pmos=(2.7e-07*(max(1.0, float(drive_scale))**0.25))|length=5e-08|num=1",RESOLVED_SOURCE_STATIC,"(90*(max(1.0, float(drive_scale))**0.25))","(270*(max(1.0, float(drive_scale))**0.25))",50,PINV_7BEF9676_NW90_PW270_L50,"NW(90*(max(1.0, float(drive_scale))**0.25))|PW(270*(max(1.0, float(drive_scale))**0.25))|L50",ca36298a364a2a65f03cc0e3,41f27f42d1302625678f1fa5
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,__init__,66,pdrive,inv2,2,PINV2,"(2.7e-07*(max(1.0, float(drive_scale))**0.5))","(8.1e-07*(max(1.0, float(drive_scale))**0.5))",5e-08,"(2.7e-07*(max(1.0, float(drive_scale))**0.5))",none,none,none,"nmos=(2.7e-07*(max(1.0, float(drive_scale))**0.5))|pmos=(8.1e-07*(max(1.0, float(drive_scale))**0.5))|length=5e-08|num=2",RESOLVED_SOURCE_STATIC,"(270*(max(1.0, float(drive_scale))**0.5))","(810*(max(1.0, float(drive_scale))**0.5))",50,PINV_4CDBED33_NW270_PW810_L50,"NW(270*(max(1.0, float(drive_scale))**0.5))|PW(810*(max(1.0, float(drive_scale))**0.5))|L50",9d4f4f3721a2292047fb7a99,bda46844fa9361b0bb11bf22
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,__init__,67,pdrive,inv3,3,PINV3,"(9.1e-07*(max(1.0, float(drive_scale))**0.75))","(2.43e-06*(max(1.0, float(drive_scale))**0.75))",5e-08,"(9.1e-07*(max(1.0, float(drive_scale))**0.75))",none,none,none,"nmos=(9.1e-07*(max(1.0, float(drive_scale))**0.75))|pmos=(2.43e-06*(max(1.0, float(drive_scale))**0.75))|length=5e-08|num=3",RESOLVED_SOURCE_STATIC,"(910*(max(1.0, float(drive_scale))**0.75))","(2430*(max(1.0, float(drive_scale))**0.75))",50,PINV_459A182D_NW910_PW2430_L50,"NW(910*(max(1.0, float(drive_scale))**0.75))|PW(2430*(max(1.0, float(drive_scale))**0.75))|L50",4d1593fe69c87f2ed8137b60,80fd82e49ec4e734881aa44b
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,__init__,68,pdrive,inv4,4,PINV4,"(2.43e-06*max(1.0, float(drive_scale)))","(7.29e-06*max(1.0, float(drive_scale)))",5e-08,"(2.43e-06*max(1.0, float(drive_scale)))",none,none,none,"nmos=(2.43e-06*max(1.0, float(drive_scale)))|pmos=(7.29e-06*max(1.0, float(drive_scale)))|length=5e-08|num=4",RESOLVED_SOURCE_STATIC,"(2430*max(1.0, float(drive_scale)))","(7290*max(1.0, float(drive_scale)))",50,PINV_CA102F26_NW2430_PW7290_L50,"NW(2430*max(1.0, float(drive_scale)))|PW(7290*max(1.0, float(drive_scale)))|L50",ee0d65187fd9f2483ff300b0,65b9981e37caea6e51bc3074
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,__init__,125,pdrive2_for_pre,inv1,1,PINV1,"(9e-08*max(1.0, (max(1.0, float(drive_scale))**0.5)))","(2.7e-07*max(1.0, (max(1.0, float(drive_scale))**0.5)))",5e-08,"(9e-08*max(1.0, (max(1.0, float(drive_scale))**0.5)))",none,none,none,"nmos=(9e-08*max(1.0, (max(1.0, float(drive_scale))**0.5)))|pmos=(2.7e-07*max(1.0, (max(1.0, float(drive_scale))**0.5)))|length=5e-08|num=1",RESOLVED_SOURCE_STATIC,"(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))","(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))",50,PINV_FEDF48F1_NW90_PW270_L50,"NW(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))|PW(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))|L50",979c9ea37297f9beba1f1c79,62848557ca976684ba44faad
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,__init__,126,pdrive2_for_pre,inv2,2,PINV2,"(2.7e-07*max(1.0, float(drive_scale)))","(8.1e-07*max(1.0, float(drive_scale)))",5e-08,"(2.7e-07*max(1.0, float(drive_scale)))",none,none,none,"nmos=(2.7e-07*max(1.0, float(drive_scale)))|pmos=(8.1e-07*max(1.0, float(drive_scale)))|length=5e-08|num=2",RESOLVED_SOURCE_STATIC,"(270*max(1.0, float(drive_scale)))","(810*max(1.0, float(drive_scale)))",50,PINV_6D5778A4_NW270_PW810_L50,"NW(270*max(1.0, float(drive_scale)))|PW(810*max(1.0, float(drive_scale)))|L50",a1edef7a295e84ea75a5126e,2fe32e4afff4e906bdb6dff3
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,wl_pdrive,__init__,164,wl_pdrive,inv1,1,PINV1,9e-08,2.7e-07,5e-08,1,none,none,none,nmos=9e-08|pmos=2.7e-07|length=5e-08|num=1,RESOLVED_SOURCE_STATIC,90,270,50,PINV_NW90_PW270_L50,NW90|PW270|L50,9fe2f90c30344295dc62fc44,508c824f7373d3d4b863259f
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,wl_pdrive,__init__,165,wl_pdrive,inv2,2,PINV2,4.5e-07,1.35e-06,5e-08,1,none,none,none,nmos=4.5e-07|pmos=1.35e-06|length=5e-08|num=2,RESOLVED_SOURCE_STATIC,450,1350,50,PINV_NW450_PW1350_L50,NW450|PW1350|L50,5d03d7ec037280dc0ed0b2f7,d3e4cd1011e1daa61789e249
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,__init__,202,dff,inv_dff,1,PINV1,2.5e-07,5e-07,5e-08,1,none,none,none,nmos=2.5e-07|pmos=5e-07|length=5e-08|num=1,RESOLVED_SOURCE_STATIC,250,500,50,PINV_NW250_PW500_L50,NW250|PW500|L50,51a32ce3e1b7caaefab60496,0dbf9822648f693a69d6f124
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DFF_BUF,__init__,276,DFF_BUF,inv1,1,PINV1,1.8e-07,5.4e-07,5e-08,1,none,none,none,nmos=1.8e-07|pmos=5.4e-07|length=5e-08|num=1,RESOLVED_SOURCE_STATIC,180,540,50,PINV_NW180_PW540_L50,NW180|PW540|L50,e70b925aed05c4c93729e940,8db3ad9fdc2d0ce8f624776c
