logical_instance_name,source_child_module,source_pin_order,source_parent_net_connections,physical_instance_name,physical_child_cell,physical_pin_map,actual_connected_nets,source_trace,binding_status,structural_match,lvs_proven
inv1_clk,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""CLK"", ""CLKB""]",inv1_clk,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""CLK"", ""CLKB""]",PINV:216,APPROVED_EXACT_BINDING,True,False
inv2_D,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""D"", ""D_b""]",inv2_D,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""D"", ""D_b""]",PINV:220,APPROVED_EXACT_BINDING,True,False
tg1,TRANSMISSION_GATE,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""D_b"", ""z1"", ""CLK"", ""CLKB""]",tg1,TRANSMISSION_GATE_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.56, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.56, ""uy"": 0.0325}], ""IN"": [{""layer"": ""m1"", ""lx"": 0.0925, ""by"": 0.2275, ""rx"": 0.1575, ""uy"": 1.4675}], ""OUT"": [{""layer"": ""m1"", ""lx"": 0.3075, ""by"": 0.2275, ""rx"": 0.3725, ""uy"": 1.4675}], ""CTR_P"": [{""layer"": ""m1"", ""lx"": 0.5825, ""by"": 1.025, ""rx"": 0.7175, ""uy"": 1.09}], ""CTR_N"": [{""layer"": ""m1"", ""lx"": 0.5825, ""by"": 0.48, ""rx"": 0.7175, ""uy"": 0.545}]}","[""VDD"", ""VSS"", ""D_b"", ""z1"", ""CLK"", ""CLKB""]",TRANSMISSION_GATE:223,APPROVED_EXACT_BINDING,True,False
inv3,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z1"", ""z2""]",inv3,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""z1"", ""z2""]",PINV:227,APPROVED_EXACT_BINDING,True,False
inv4,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z3""]",inv4,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""z2"", ""z3""]",PINV:231,APPROVED_EXACT_BINDING,True,False
tg2,TRANSMISSION_GATE,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""z3"", ""z1"", ""CLKB"", ""CLK""]",tg2,TRANSMISSION_GATE_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.56, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.56, ""uy"": 0.0325}], ""IN"": [{""layer"": ""m1"", ""lx"": 0.0925, ""by"": 0.2275, ""rx"": 0.1575, ""uy"": 1.4675}], ""OUT"": [{""layer"": ""m1"", ""lx"": 0.3075, ""by"": 0.2275, ""rx"": 0.3725, ""uy"": 1.4675}], ""CTR_P"": [{""layer"": ""m1"", ""lx"": 0.5825, ""by"": 1.025, ""rx"": 0.7175, ""uy"": 1.09}], ""CTR_N"": [{""layer"": ""m1"", ""lx"": 0.5825, ""by"": 0.48, ""rx"": 0.7175, ""uy"": 0.545}]}","[""VDD"", ""VSS"", ""z3"", ""z1"", ""CLKB"", ""CLK""]",TRANSMISSION_GATE:234,APPROVED_EXACT_BINDING,True,False
inv5,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z4""]",inv5,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""z2"", ""z4""]",PINV:239,APPROVED_EXACT_BINDING,True,False
tg3,TRANSMISSION_GATE,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""z4"", ""z5"", ""CLKB"", ""CLK""]",tg3,TRANSMISSION_GATE_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.56, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.56, ""uy"": 0.0325}], ""IN"": [{""layer"": ""m1"", ""lx"": 0.0925, ""by"": 0.2275, ""rx"": 0.1575, ""uy"": 1.4675}], ""OUT"": [{""layer"": ""m1"", ""lx"": 0.3075, ""by"": 0.2275, ""rx"": 0.3725, ""uy"": 1.4675}], ""CTR_P"": [{""layer"": ""m1"", ""lx"": 0.5825, ""by"": 1.025, ""rx"": 0.7175, ""uy"": 1.09}], ""CTR_N"": [{""layer"": ""m1"", ""lx"": 0.5825, ""by"": 0.48, ""rx"": 0.7175, ""uy"": 0.545}]}","[""VDD"", ""VSS"", ""z4"", ""z5"", ""CLKB"", ""CLK""]",TRANSMISSION_GATE:242,APPROVED_EXACT_BINDING,True,False
inv6,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z5"", ""Q""]",inv6,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""z5"", ""Q""]",PINV:246,APPROVED_EXACT_BINDING,True,False
inv7,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""Q"", ""QB""]",inv7,PINV_NW250_PW500_L50,"{""VDD"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": 1.7875, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""layer"": ""m1"", ""lx"": 0.0, ""by"": -0.0325, ""rx"": 0.6875, ""uy"": 0.0325}], ""A"": [{""layer"": ""m1"", ""lx"": 0.0725, ""by"": 0.815, ""rx"": 0.2075, ""uy"": 0.88}], ""Z"": [{""layer"": ""m1"", ""lx"": 0.34, ""by"": 0.815, ""rx"": 0.405, ""uy"": 0.88}]}","[""VDD"", ""VSS"", ""Q"", ""QB""]",PINV:250,APPROVED_EXACT_BINDING,True,False
