source_cell,reference_index,reference_type,target_cell,target_exists,columns,rows
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,0,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,0,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,1,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,2,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,3,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,4,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW180_PW270_L50_contact_11,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,0,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,1,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,0,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,1,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,0,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,0,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,1,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,2,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,3,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,4,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_11,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_core,5,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_11,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1,0,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1,1,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1,0,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1,1,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,0,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,1,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,2,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,3,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,4,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,5,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,6,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,7,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,8,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,9,SREF,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,True,1,1
DFF_TG4_INV7_FPDK45_3363e5e66d68,10,SREF,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,True,1,1
