net_name,layer,start,end,width,source_pin,destination_pin,obstacle_clearance,route_order,geometry_id
CLK,m2,"[0.25, 0.98]","[0.25, 2.2375]",0.07,inv1_clk.A,CLK_TRUNK,0.07,0,CLK_drop_inv1_clk.A
CLK,m2,"[3.255, 1.19]","[3.255, 2.2375]",0.07,tg1.CTR_P,CLK_TRUNK,0.07,0,CLK_drop_tg1.CTR_P
CLK,m2,"[6.9975, 0.645]","[6.9975, 2.2375]",0.07,tg2.CTR_N,CLK_TRUNK,0.07,0,CLK_drop_tg2.CTR_N
CLK,m2,"[9.4925, 0.645]","[9.4925, 2.2375]",0.07,tg3.CTR_N,CLK_TRUNK,0.07,0,CLK_drop_tg3.CTR_N
CLK,m2,"[13.235, 1.19]","[13.235, 2.2375]",0.07,tg4.CTR_P,CLK_TRUNK,0.07,0,CLK_drop_tg4.CTR_P
CLK,m2,"[6.63625, 2.2075]","[6.63625, 2.2375]",0.07,TOP.CLK,CLK_TRUNK,0.07,0,CLK_top_drop
CLK,m2,"[0.25, 2.2375]","[13.235, 2.2375]",0.07,CLK_TRUNK_START,CLK_TRUNK_END,0.07,0,CLK_trunk
CLKB,m2,"[0.4825, 0.98]","[0.4825, 2.3975]",0.07,inv1_clk.Z,CLKB_TRUNK,0.07,1,CLKB_drop_inv1_clk.Z
CLKB,m2,"[3.255, 0.645]","[3.255, 2.3975]",0.07,tg1.CTR_N,CLKB_TRUNK,0.07,1,CLKB_drop_tg1.CTR_N
CLKB,m2,"[6.9975, 1.19]","[6.9975, 2.3975]",0.07,tg2.CTR_P,CLKB_TRUNK,0.07,1,CLKB_drop_tg2.CTR_P
CLKB,m2,"[9.4925, 1.19]","[9.4925, 2.3975]",0.07,tg3.CTR_P,CLKB_TRUNK,0.07,1,CLKB_drop_tg3.CTR_P
CLKB,m2,"[13.235, 0.645]","[13.235, 2.3975]",0.07,tg4.CTR_N,CLKB_TRUNK,0.07,1,CLKB_drop_tg4.CTR_N
CLKB,m2,"[0.4825, 2.3975]","[13.235, 2.3975]",0.07,CLKB_TRUNK_START,CLKB_TRUNK_END,0.07,1,CLKB_trunk
D,m2,"[1.4975, 0.98]","[1.4975, 2.5575]",0.07,inv2_D.A,D_TRUNK,0.07,2,D_drop_inv2_D.A
D,m2,"[0.2, 2.2075]","[0.2, 2.5575]",0.07,TOP.D,D_TRUNK,0.07,2,D_top_drop
D,m2,"[0.2, 2.5575]","[1.4975, 2.5575]",0.07,D_TRUNK_START,D_TRUNK_END,0.07,2,D_trunk
D_b,m2,"[1.73, 0.98]","[1.73, 2.7175]",0.07,inv2_D.Z,D_b_TRUNK,0.07,3,D_b_drop_inv2_D.Z
D_b,m2,"[2.63, 0.98]","[2.63, 2.7175]",0.07,tg1.IN,D_b_TRUNK,0.07,3,D_b_drop_tg1.IN
D_b,m2,"[1.73, 2.7175]","[2.63, 2.7175]",0.07,D_b_TRUNK_START,D_b_TRUNK_END,0.07,3,D_b_trunk
z1,m2,"[3.045, 0.98]","[3.045, 2.8775]",0.07,tg1.OUT,z1_TRUNK,0.07,4,z1_drop_tg1.OUT
z1,m2,"[3.9925, 0.98]","[3.9925, 2.8775]",0.07,inv3.A,z1_TRUNK,0.07,4,z1_drop_inv3.A
z1,m2,"[6.7875, 0.98]","[6.7875, 2.8775]",0.07,tg2.OUT,z1_TRUNK,0.07,4,z1_drop_tg2.OUT
z1,m2,"[3.045, 2.8775]","[6.7875, 2.8775]",0.07,z1_TRUNK_START,z1_TRUNK_END,0.07,4,z1_trunk
z2,m2,"[4.225, 0.98]","[4.225, 3.0375]",0.07,inv3.Z,z2_TRUNK,0.07,5,z2_drop_inv3.Z
z2,m2,"[5.24, 0.98]","[5.24, 3.0375]",0.07,inv4.A,z2_TRUNK,0.07,5,z2_drop_inv4.A
z2,m2,"[7.735, 0.98]","[7.735, 3.0375]",0.07,inv5.A,z2_TRUNK,0.07,5,z2_drop_inv5.A
z2,m2,"[4.225, 3.0375]","[7.735, 3.0375]",0.07,z2_TRUNK_START,z2_TRUNK_END,0.07,5,z2_trunk
z3,m2,"[5.4725, 0.98]","[5.4725, 3.1975]",0.07,inv4.Z,z3_TRUNK,0.07,6,z3_drop_inv4.Z
z3,m2,"[6.3725, 0.98]","[6.3725, 3.1975]",0.07,tg2.IN,z3_TRUNK,0.07,6,z3_drop_tg2.IN
z3,m2,"[5.4725, 3.1975]","[6.3725, 3.1975]",0.07,z3_TRUNK_START,z3_TRUNK_END,0.07,6,z3_trunk
z4,m2,"[7.9675, 0.98]","[7.9675, 3.3575]",0.07,inv5.Z,z4_TRUNK,0.07,7,z4_drop_inv5.Z
z4,m2,"[8.8675, 0.98]","[8.8675, 3.3575]",0.07,tg3.IN,z4_TRUNK,0.07,7,z4_drop_tg3.IN
z4,m2,"[7.9675, 3.3575]","[8.8675, 3.3575]",0.07,z4_TRUNK_START,z4_TRUNK_END,0.07,7,z4_trunk
z5,m2,"[9.2825, 0.98]","[9.2825, 3.5175]",0.07,tg3.OUT,z5_TRUNK,0.07,8,z5_drop_tg3.OUT
z5,m2,"[10.23, 0.98]","[10.23, 3.5175]",0.07,inv6.A,z5_TRUNK,0.07,8,z5_drop_inv6.A
z5,m2,"[13.025, 0.98]","[13.025, 3.5175]",0.07,tg4.OUT,z5_TRUNK,0.07,8,z5_drop_tg4.OUT
z5,m2,"[9.2825, 3.5175]","[13.025, 3.5175]",0.07,z5_TRUNK_START,z5_TRUNK_END,0.07,8,z5_trunk
Q,m2,"[10.4625, 0.98]","[10.4625, 3.6775]",0.07,inv6.Z,Q_TRUNK,0.07,9,Q_drop_inv6.Z
Q,m2,"[11.4775, 0.98]","[11.4775, 3.6775]",0.07,inv7.A,Q_TRUNK,0.07,9,Q_drop_inv7.A
Q,m2,"[13.0725, 2.2075]","[13.0725, 3.6775]",0.07,TOP.Q,Q_TRUNK,0.07,9,Q_top_drop
Q,m2,"[10.4625, 3.6775]","[13.0725, 3.6775]",0.07,Q_TRUNK_START,Q_TRUNK_END,0.07,9,Q_trunk
QB,m2,"[11.71, 0.98]","[11.71, 3.8375]",0.07,inv7.Z,QB_TRUNK,0.07,10,QB_drop_inv7.Z
QB,m2,"[12.61, 0.98]","[12.61, 3.8375]",0.07,tg4.IN,QB_TRUNK,0.07,10,QB_drop_tg4.IN
QB,m2,"[11.71, 3.8375]","[12.61, 3.8375]",0.07,QB_TRUNK_START,QB_TRUNK_END,0.07,10,QB_trunk
