net_name,endpoint_name,net_role,source_lines
VDD,inv1_clk.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,inv2_D.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,inv3.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,inv4.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,inv5.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,inv6.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,inv7.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,tg1.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,tg2.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,tg3.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VDD,tg4.VDD,POWER,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv1_clk.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv2_D.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv3.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv4.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv5.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv6.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,inv7.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,tg1.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,tg2.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,tg3.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
VSS,tg4.VSS,GROUND,"[216, 220, 223, 227, 231, 234, 239, 242, 246, 250, 254]"
D,inv2_D.A,TOP_SIGNAL_INPUT,[220]
Q,inv6.Z,TOP_SIGNAL_OUTPUT,"[246, 250]"
Q,inv7.A,TOP_SIGNAL_OUTPUT,"[246, 250]"
CLK,inv1_clk.A,CLOCK_TOP_PIN,"[216, 223, 234, 242, 254]"
CLK,tg1.CTR_P,CLOCK_TOP_PIN,"[216, 223, 234, 242, 254]"
CLK,tg2.CTR_N,CLOCK_TOP_PIN,"[216, 223, 234, 242, 254]"
CLK,tg3.CTR_N,CLOCK_TOP_PIN,"[216, 223, 234, 242, 254]"
CLK,tg4.CTR_P,CLOCK_TOP_PIN,"[216, 223, 234, 242, 254]"
CLKB,inv1_clk.Z,INTERNAL,"[216, 223, 234, 242, 254]"
CLKB,tg1.CTR_N,INTERNAL,"[216, 223, 234, 242, 254]"
CLKB,tg2.CTR_P,INTERNAL,"[216, 223, 234, 242, 254]"
CLKB,tg3.CTR_P,INTERNAL,"[216, 223, 234, 242, 254]"
CLKB,tg4.CTR_N,INTERNAL,"[216, 223, 234, 242, 254]"
D_b,inv2_D.Z,BIDIRECTIONAL_SWITCH_NET,"[220, 223]"
D_b,tg1.IN,BIDIRECTIONAL_SWITCH_NET,"[220, 223]"
z1,inv3.A,BIDIRECTIONAL_SWITCH_NET,"[223, 227, 234]"
z1,tg1.OUT,BIDIRECTIONAL_SWITCH_NET,"[223, 227, 234]"
z1,tg2.OUT,BIDIRECTIONAL_SWITCH_NET,"[223, 227, 234]"
z2,inv3.Z,INTERNAL,"[227, 231, 239]"
z2,inv4.A,INTERNAL,"[227, 231, 239]"
z2,inv5.A,INTERNAL,"[227, 231, 239]"
z3,inv4.Z,BIDIRECTIONAL_SWITCH_NET,"[231, 234]"
z3,tg2.IN,BIDIRECTIONAL_SWITCH_NET,"[231, 234]"
z4,inv5.Z,BIDIRECTIONAL_SWITCH_NET,"[239, 242]"
z4,tg3.IN,BIDIRECTIONAL_SWITCH_NET,"[239, 242]"
z5,inv6.A,BIDIRECTIONAL_SWITCH_NET,"[242, 246, 254]"
z5,tg3.OUT,BIDIRECTIONAL_SWITCH_NET,"[242, 246, 254]"
z5,tg4.OUT,BIDIRECTIONAL_SWITCH_NET,"[242, 246, 254]"
QB,inv7.Z,BIDIRECTIONAL_SWITCH_NET,"[250, 254]"
QB,tg4.IN,BIDIRECTIONAL_SWITCH_NET,"[250, 254]"
