net_name,x,y,size,landing,route_order
CLK,0.25,0.9125,0.065,0.135,0
CLK,3.255,1.1225,0.065,0.135,0
CLK,6.9975,0.5775,0.065,0.135,0
CLK,9.4925,0.5775,0.065,0.135,0
CLK,13.235,1.1225,0.065,0.135,0
CLK,6.63625,2.14,0.065,0.135,0
CLKB,0.4825,0.9125,0.065,0.135,1
CLKB,3.255,0.5775,0.065,0.135,1
CLKB,6.9975,1.1225,0.065,0.135,1
CLKB,9.4925,1.1225,0.065,0.135,1
CLKB,13.235,0.5775,0.065,0.135,1
D,1.4975,0.9125,0.065,0.135,2
D,0.2,2.14,0.065,0.135,2
D_b,1.73,0.9125,0.065,0.135,3
D_b,2.63,0.9125,0.065,0.135,3
z1,3.045,0.9125,0.065,0.135,4
z1,3.9925,0.9125,0.065,0.135,4
z1,6.7875,0.9125,0.065,0.135,4
z2,4.225,0.9125,0.065,0.135,5
z2,5.24,0.9125,0.065,0.135,5
z2,7.735,0.9125,0.065,0.135,5
z3,5.4725,0.9125,0.065,0.135,6
z3,6.3725,0.9125,0.065,0.135,6
z4,7.9675,0.9125,0.065,0.135,7
z4,8.8675,0.9125,0.065,0.135,7
z5,9.2825,0.9125,0.065,0.135,8
z5,10.23,0.9125,0.065,0.135,8
z5,13.025,0.9125,0.065,0.135,8
Q,10.4625,0.9125,0.065,0.135,9
Q,11.4775,0.9125,0.065,0.135,9
Q,13.0725,2.14,0.065,0.135,9
QB,11.71,0.9125,0.065,0.135,10
QB,12.61,0.9125,0.065,0.135,10
