parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition,declaration_status,active_in_default_environment,condition_evaluation_status
ADDR_DFF,f'dff_{i}',DFF,0,VDD,VDD,VDD,440,i in range(n_bits),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
ADDR_DFF,f'dff_{i}',DFF,1,VSS,VSS,VSS,440,i in range(n_bits),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
ADDR_DFF,f'dff_{i}',DFF,2,D,f'A{i}',f'A{i}',440,i in range(n_bits),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
ADDR_DFF,f'dff_{i}',DFF,3,Q,f'A_dff{i}',f'A_dff{i}',440,i in range(n_bits),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
ADDR_DFF,f'dff_{i}',DFF,4,CLK,CLK,CLK,440,i in range(n_bits),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PNAND3',PNAND2,0,VDD,VDD,VDD,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PNAND3',PNAND2,1,VSS,VSS,VSS,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PNAND3',PNAND2,2,A,a_node,a_node,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PNAND3',PNAND2,3,B,b_node,b_node,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PNAND3',PNAND2,4,Z,zb_node,zb_node,227,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PINV',PINV,0,VDD,VDD,VDD,229,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PINV',PINV,1,VSS,VSS,VSS,229,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PINV',PINV,2,A,zb_node,zb_node,229,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND2,f'PINV',PINV,3,Z,z_node,z_node,229,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PNAND3',PNAND3,0,VDD,VDD,VDD,287,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PNAND3',PNAND3,1,VSS,VSS,VSS,287,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PNAND3',PNAND3,2,A,A,A,287,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PNAND3',PNAND3,3,B,B,B,287,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PNAND3',PNAND3,4,C,C,C,287,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PNAND3',PNAND3,5,Z,zb_int,zb_int,287,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PINV',PINV,0,VDD,VDD,VDD,289,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PINV',PINV,1,VSS,VSS,VSS,289,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PINV',PINV,2,A,zb_int,zb_int,289,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
AND3,'PINV',PINV,3,Z,Z,Z,289,,,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DATA_DFF,f'dff_{i}',DFF,0,VDD,VDD,VDD,479,i in range(num_cols),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DATA_DFF,f'dff_{i}',DFF,1,VSS,VSS,VSS,479,i in range(num_cols),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DATA_DFF,f'dff_{i}',DFF,2,D,f'DIN{i}',f'DIN{i}',479,i in range(num_cols),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
DATA_DFF,f'dff_{i}',DFF,3,Q,f'DIN_dff{i}',f'DIN_dff{i}',479,i in range(num_cols),,,,DECLARED_IN_SOURCE,True,ALWAYS_ACTIVE
