config_id,hierarchical_instance_path,instance_classification,reason
16x16_read&write,TIME.and2_gated_clk_bar.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND2 is not an approved reusable primitive
16x16_read&write,TIME.and2_gated_clk_buf.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND2 is not an approved reusable primitive
16x16_read&write,TIME.w_en.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND3 is not an approved reusable primitive
16x16_read&write,TIME.s_en.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND3 is not an approved reusable primitive
16x16_read&write,TIME.pre_unbuf,NEW_PRIMITIVE_REQUIRED,PNAND3 is not an approved reusable primitive
64x8_read&write,TIME.and2_gated_clk_bar.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND2 is not an approved reusable primitive
64x8_read&write,TIME.and2_gated_clk_buf.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND2 is not an approved reusable primitive
64x8_read&write,TIME.w_en.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND3 is not an approved reusable primitive
64x8_read&write,TIME.s_en.PNAND3,NEW_PRIMITIVE_REQUIRED,PNAND3 is not an approved reusable primitive
64x8_read&write,TIME.pre_unbuf,NEW_PRIMITIVE_REQUIRED,PNAND3 is not an approved reusable primitive
