parent_module,source_line,source_loop_context,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,branch_condition,active_for_config,condition_evaluation,condition_input_values,condition_evaluation_source
TIME,536,,'dff_buf_addr',ADDR_DFF,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,2,CLK,clk_buf,clk_buf,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,3,A0,A0,A0,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,4,A1,A1,A1,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,5,A2,A2,A2,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,6,A3,A3,A3,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,7,A_dff0,A_dff0,A_dff0,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,8,A_dff1,A_dff1,A_dff1,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,9,A_dff2,A_dff2,A_dff2,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,536,,'dff_buf_addr',ADDR_DFF,10,A_dff3,A_dff3,A_dff3,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
ADDR_DFF,440,i in range(n_bits),f'dff_{i}',DFF,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",ADDR_DFF
ADDR_DFF,440,i in range(n_bits),f'dff_{i}',DFF,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",ADDR_DFF
ADDR_DFF,440,i in range(n_bits),f'dff_{i}',DFF,2,D,A{i},A{i},,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",ADDR_DFF
