instance_name,source_line,child_logical_module,child_pin_order,parent_net_connections,requested_nmos_width_nm,requested_pmos_width_nm,requested_channel_length_nm,resolved_physical_cell_name,approved_reusable_gds_path,approved_geometry_fingerprint,approved_pin_map_path,approved_connectivity_report_path,approved_drc_report_path,expected_canonical_pin_names,actual_canonical_pin_names,pin_namespace_match,forbidden_source_root_used,geometry_fingerprint_match,drc_marker_count,connectivity_contract_passed,binding_status,binding_failure_reason
inv1_clk,216,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""CLK"", ""CLKB""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
inv2_D,220,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""D"", ""D_b""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
tg1,223,TRANSMISSION_GATE,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""D_b"", ""z1"", ""CLK"", ""CLKB""]",250,500,50,TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50.gds,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
inv3,227,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z1"", ""z2""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
inv4,231,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z3""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
tg2,234,TRANSMISSION_GATE,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""z3"", ""z1"", ""CLKB"", ""CLK""]",250,500,50,TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50.gds,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
inv5,239,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z2"", ""z4""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
tg3,242,TRANSMISSION_GATE,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""z4"", ""z5"", ""CLKB"", ""CLK""]",250,500,50,TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50.gds,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]","[""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
inv6,246,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""z5"", ""Q""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
inv7,250,PINV,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""Q"", ""QB""]",250,500,50,PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A"", ""Z""]",True,False,True,0,True,APPROVED_EXACT_BINDING,
