source_class,source_name_constant,canonical_module_name,child_constructor_alias,child_source_class,child_canonical_module,resolution_method,hardcoded_crosscheck_result,resolution_status,failure_reason
AND2,AND2,AND2,self.nand_gate,PNAND2,PNAND2,constructor_assignment,MATCH,RESOLVED,
AND2,AND2,AND2,self.inv_driver,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
AND3,AND3,AND3,self.nand3_gate,PNAND3,PNAND3,constructor_assignment,MATCH,RESOLVED,
AND3,AND3,AND3,self.inv_driver,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
pdrive,pdrive,pdrive,self.inv1,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
pdrive,pdrive,pdrive,self.inv2,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
pdrive,pdrive,pdrive,self.inv3,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
pdrive,pdrive,pdrive,self.inv4,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
pdrive2_for_pre,pdrive2_for_pre,pdrive2_for_pre,self.inv1,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
pdrive2_for_pre,pdrive2_for_pre,pdrive2_for_pre,self.inv2,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
wl_pdrive,wl_pdrive,wl_pdrive,self.inv1,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
wl_pdrive,wl_pdrive,wl_pdrive,self.inv2,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
dff,DFF,DFF,self.inv_dff,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
dff,DFF,DFF,self.trans_dff,TransmissionGate,TRANSMISSION_GATE,constructor_assignment,MATCH,RESOLVED,
DFF_BUF,DFF_BUF,DFF_BUF,self.dff1,dff,DFF,constructor_assignment,MATCH,RESOLVED,
DFF_BUF,DFF_BUF,DFF_BUF,self.inv1,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
DFF_BUF,DFF_BUF,DFF_BUF,self.inv2,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
DelayChain,delay_chain,delay_chain,self.inv,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
WenDelayChain,wen_delay_chain,wen_delay_chain,self.inv,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
ADDR_DFF,ADDR_DFF,ADDR_DFF,self.dff_addr,dff,DFF,constructor_assignment,MATCH,RESOLVED,
DATA_DFF,DATA_DFF,DATA_DFF,self.dff_data,dff,DFF,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,dff_buf_addr,ADDR_DFF,ADDR_DFF,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,clkbuf,pdrive,pdrive,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,inv_clk_bar,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,dff_buf,DFF_BUF,DFF_BUF,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,dff_buf1,DFF_BUF,DFF_BUF,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,and2_gated_clk_bar,AND2,AND2,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,and2_gated_clk_buf,AND2,AND2,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,wl_en,wl_pdrive,wl_pdrive,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,inv_wl_en_bar,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,delaychain,DelayChain,delay_chain,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,inv_rbl_delay_bar,Pinv,PINV,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,w_en,AND3,AND3,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,s_en,AND3,AND3,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,pre_unbuf,PNAND3,PNAND3,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,pre,pdrive2_for_pre,pdrive2_for_pre,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,dff_buf_data,DATA_DFF,DATA_DFF,constructor_assignment,MATCH,RESOLVED,
TIME,TIME,TIME,wen_delaychain,WenDelayChain,wen_delay_chain,constructor_assignment,MATCH,RESOLVED,
