config_id,failure_class,instance_name,parent_module,reason
R16_C16_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,DFF,TIME,22 composite child instances remain hierarchical in M12C4R
R16_C16_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,DFF_BUF,TIME,2 composite child instances remain hierarchical in M12C4R
R16_C16_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,AND2,TIME,2 composite child instances remain hierarchical in M12C4R
R16_C16_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,AND3,TIME,2 composite child instances remain hierarchical in M12C4R
R16_C16_read&write,NEW_PRIMITIVE_REQUIRED,PNAND2,TIME,OpenYield PNAND physical primitive is not yet approved
R16_C16_read&write,NEW_PRIMITIVE_REQUIRED,PNAND3,TIME,OpenYield PNAND physical primitive is not yet approved
R64_C8_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,DFF,TIME,16 composite child instances remain hierarchical in M12C4R
R64_C8_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,DFF_BUF,TIME,2 composite child instances remain hierarchical in M12C4R
R64_C8_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,AND2,TIME,2 composite child instances remain hierarchical in M12C4R
R64_C8_read&write,COMPOSITE_CHILD_NOT_YET_GENERATED,AND3,TIME,2 composite child instances remain hierarchical in M12C4R
R64_C8_read&write,NEW_PRIMITIVE_REQUIRED,PNAND2,TIME,OpenYield PNAND physical primitive is not yet approved
R64_C8_read&write,NEW_PRIMITIVE_REQUIRED,PNAND3,TIME,OpenYield PNAND physical primitive is not yet approved
