parent_module,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,source_line,loop_variables,branch_condition,operation_condition,configuration_condition
ADDR_DFF,f'dff_{i}',DFF,0,VDD,VDD,VDD,440,i in range(n_bits),,,
ADDR_DFF,f'dff_{i}',DFF,1,VSS,VSS,VSS,440,i in range(n_bits),,,
ADDR_DFF,f'dff_{i}',DFF,2,D,A0,A0,440,i in range(n_bits),,,
ADDR_DFF,f'dff_{i}',DFF,3,Q,A_dff0,A_dff0,440,i in range(n_bits),,,
ADDR_DFF,f'dff_{i}',DFF,4,CLK,CLK,CLK,440,i in range(n_bits),,,
AND2,f'PNAND3',PNAND2,0,VDD,VDD,VDD,227,,,,
AND2,f'PNAND3',PNAND2,1,VSS,VSS,VSS,227,,,,
AND2,f'PNAND3',PNAND2,2,A,a_node,a_node,227,,,,
AND2,f'PNAND3',PNAND2,3,B,b_node,b_node,227,,,,
AND2,f'PNAND3',PNAND2,4,Z,zb_node,zb_node,227,,,,
AND2,f'PINV',PINV,0,VDD,VDD,VDD,229,,,,
AND2,f'PINV',PINV,1,VSS,VSS,VSS,229,,,,
AND2,f'PINV',PINV,2,A,zb_node,zb_node,229,,,,
AND2,f'PINV',PINV,3,Z,z_node,z_node,229,,,,
AND3,'PNAND3',PNAND3,0,VDD,VDD,VDD,287,,,,
AND3,'PNAND3',PNAND3,1,VSS,VSS,VSS,287,,,,
AND3,'PNAND3',PNAND3,2,A,A,A,287,,,,
AND3,'PNAND3',PNAND3,3,B,B,B,287,,,,
AND3,'PNAND3',PNAND3,4,C,C,C,287,,,,
AND3,'PNAND3',PNAND3,5,Z,zb_int,zb_int,287,,,,
AND3,'PINV',PINV,0,VDD,VDD,VDD,289,,,,
AND3,'PINV',PINV,1,VSS,VSS,VSS,289,,,,
AND3,'PINV',PINV,2,A,zb_int,zb_int,289,,,,
AND3,'PINV',PINV,3,Z,Z,Z,289,,,,
DFF,'inv1_clk',PINV,0,VDD,VDD,VDD,216,,,,
DFF,'inv1_clk',PINV,1,VSS,VSS,VSS,216,,,,
DFF,'inv1_clk',PINV,2,A,CLK,CLK,216,,,,
DFF,'inv1_clk',PINV,3,Z,CLKB,CLKB,216,,,,
DFF,'inv2_D',PINV,0,VDD,VDD,VDD,220,,,,
DFF,'inv2_D',PINV,1,VSS,VSS,VSS,220,,,,
DFF,'inv2_D',PINV,2,A,D,D,220,,,,
DFF,'inv2_D',PINV,3,Z,D_b,D_b,220,,,,
DFF,'tg1',TRANSMISSION_GATE,0,VDD,VDD,VDD,223,,,,
DFF,'tg1',TRANSMISSION_GATE,1,VSS,VSS,VSS,223,,,,
DFF,'tg1',TRANSMISSION_GATE,2,IN,D_b,D_b,223,,,,
DFF,'tg1',TRANSMISSION_GATE,3,OUT,z1,z1,223,,,,
DFF,'tg1',TRANSMISSION_GATE,4,CTR_P,CLK,CLK,223,,,,
DFF,'tg1',TRANSMISSION_GATE,5,CTR_N,CLKB,CLKB,223,,,,
DFF,'inv3',PINV,0,VDD,VDD,VDD,227,,,,
DFF,'inv3',PINV,1,VSS,VSS,VSS,227,,,,
DFF,'inv3',PINV,2,A,z1,z1,227,,,,
DFF,'inv3',PINV,3,Z,z2,z2,227,,,,
DFF,'inv4',PINV,0,VDD,VDD,VDD,231,,,,
DFF,'inv4',PINV,1,VSS,VSS,VSS,231,,,,
DFF,'inv4',PINV,2,A,z2,z2,231,,,,
DFF,'inv4',PINV,3,Z,z3,z3,231,,,,
DFF,'tg2',TRANSMISSION_GATE,0,VDD,VDD,VDD,234,,,,
DFF,'tg2',TRANSMISSION_GATE,1,VSS,VSS,VSS,234,,,,
DFF,'tg2',TRANSMISSION_GATE,2,IN,z3,z3,234,,,,
DFF,'tg2',TRANSMISSION_GATE,3,OUT,z1,z1,234,,,,
DFF,'tg2',TRANSMISSION_GATE,4,CTR_P,CLKB,CLKB,234,,,,
DFF,'tg2',TRANSMISSION_GATE,5,CTR_N,CLK,CLK,234,,,,
DFF,'inv5',PINV,0,VDD,VDD,VDD,239,,,,
DFF,'inv5',PINV,1,VSS,VSS,VSS,239,,,,
DFF,'inv5',PINV,2,A,z2,z2,239,,,,
DFF,'inv5',PINV,3,Z,z4,z4,239,,,,
DFF,'tg3',TRANSMISSION_GATE,0,VDD,VDD,VDD,242,,,,
DFF,'tg3',TRANSMISSION_GATE,1,VSS,VSS,VSS,242,,,,
DFF,'tg3',TRANSMISSION_GATE,2,IN,z4,z4,242,,,,
DFF,'tg3',TRANSMISSION_GATE,3,OUT,z5,z5,242,,,,
DFF,'tg3',TRANSMISSION_GATE,4,CTR_P,CLKB,CLKB,242,,,,
DFF,'tg3',TRANSMISSION_GATE,5,CTR_N,CLK,CLK,242,,,,
DFF,'inv6',PINV,0,VDD,VDD,VDD,246,,,,
DFF,'inv6',PINV,1,VSS,VSS,VSS,246,,,,
DFF,'inv6',PINV,2,A,z5,z5,246,,,,
DFF,'inv6',PINV,3,Z,Q,Q,246,,,,
DFF,'inv7',PINV,0,VDD,VDD,VDD,250,,,,
DFF,'inv7',PINV,1,VSS,VSS,VSS,250,,,,
DFF,'inv7',PINV,2,A,Q,Q,250,,,,
DFF,'inv7',PINV,3,Z,QB,QB,250,,,,
DFF,'tg4',TRANSMISSION_GATE,0,VDD,VDD,VDD,254,,,,
DFF,'tg4',TRANSMISSION_GATE,1,VSS,VSS,VSS,254,,,,
DFF,'tg4',TRANSMISSION_GATE,2,IN,QB,QB,254,,,,
DFF,'tg4',TRANSMISSION_GATE,3,OUT,z5,z5,254,,,,
DFF,'tg4',TRANSMISSION_GATE,4,CTR_P,CLK,CLK,254,,,,
DFF,'tg4',TRANSMISSION_GATE,5,CTR_N,CLKB,CLKB,254,,,,
DFF_BUF,'dff',DFF,0,VDD,VDD,VDD,288,,,,
DFF_BUF,'dff',DFF,1,VSS,VSS,VSS,288,,,,
DFF_BUF,'dff',DFF,2,D,D,D,288,,,,
DFF_BUF,'dff',DFF,3,Q,qint,qint,288,,,,
DFF_BUF,'dff',DFF,4,CLK,CLK,CLK,288,,,,
DFF_BUF,'inv1',PINV,0,VDD,VDD,VDD,292,,,,
DFF_BUF,'inv1',PINV,1,VSS,VSS,VSS,292,,,,
DFF_BUF,'inv1',PINV,2,A,qint,qint,292,,,,
DFF_BUF,'inv1',PINV,3,Z,QB,QB,292,,,,
DFF_BUF,'inv2',PINV,0,VDD,VDD,VDD,296,,,,
DFF_BUF,'inv2',PINV,1,VSS,VSS,VSS,296,,,,
DFF_BUF,'inv2',PINV,2,A,QB,QB,296,,,,
DFF_BUF,'inv2',PINV,3,Z,Q,Q,296,,,,
TIME,'dff_buf_addr',ADDR_DFF,0,VDD,VDD,VDD,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,1,VSS,VSS,VSS,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,2,CLK,clk_buf,clk_buf,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,3,A0,A0,A0,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,4,A1,A1,A1,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,5,A2,A2,A2,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,6,A3,A3,A3,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,7,A_dff0,A_dff0,A_dff0,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,8,A_dff1,A_dff1,A_dff1,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,9,A_dff2,A_dff2,A_dff2,536,,,,
TIME,'dff_buf_addr',ADDR_DFF,10,A_dff3,A_dff3,A_dff3,536,,,,
TIME,'clkbuf',pdrive,0,VDD,VDD,VDD,579,,,,
TIME,'clkbuf',pdrive,1,VSS,VSS,VSS,579,,,,
TIME,'clkbuf',pdrive,2,A,clk,clk,579,,,,
TIME,'clkbuf',pdrive,3,Z,clk_buf,clk_buf,579,,,,
TIME,'inv_clk_bar',PINV,0,VDD,VDD,VDD,591,,,,
