module_name,node_kind,dependency_children,dependency_count
ADDR_DFF,COMPOSITE_PARAMETERIZED_READY,dff,1
AND2,COMPOSITE_BLOCKED,PNAND2|Pinv,2
AND3,COMPOSITE_BLOCKED,PNAND3|Pinv,2
DATA_DFF,COMPOSITE_PARAMETERIZED_READY,dff,1
DFF,COMPOSITE_PARAMETERIZED_READY,Pinv|TransmissionGate,2
DFF_BUF,COMPOSITE_PARAMETERIZED_READY,Pinv|dff,2
PNAND2,PRIMITIVE_GENERATOR_REQUIRED,,0
PNAND3,PRIMITIVE_GENERATOR_REQUIRED,,0
Pinv,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
TIME,TOP_LEVEL_ONLY,and2_gated_clk_bar.NAME|and2_gated_clk_buf.NAME|clkbuf.NAME|delaychain.NAME|dff_buf.NAME|dff_buf1.NAME|dff_buf_addr.NAME|dff_buf_data.NAME|inv_clk_bar.NAME|inv_rbl_delay_bar.NAME|inv_wl_en_bar.NAME|pre.NAME|pre_unbuf.NAME|s_en.NAME|w_en.NAME|wen_delaychain.NAME|wl_en.NAME,17
TRANSMISSION_GATE,APPROVED_REUSABLE_PRIMITIVE,,0
TransmissionGate,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
and2_gated_clk_bar.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
and2_gated_clk_buf.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
clkbuf.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
delay_chain,COMPOSITE_PARAMETERIZED_READY,Pinv,1
delaychain.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
dff,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
dff_buf.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
dff_buf1.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
dff_buf_addr.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
dff_buf_data.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
inv_clk_bar.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
inv_rbl_delay_bar.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
inv_wl_en_bar.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
pdrive,COMPOSITE_PARAMETERIZED_READY,Pinv,1
pdrive2_for_pre,COMPOSITE_PARAMETERIZED_READY,Pinv,1
pre.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
pre_unbuf.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
s_en.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
w_en.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
wen_delay_chain,COMPOSITE_PARAMETERIZED_READY,Pinv,1
wen_delaychain.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
wl_en.NAME,DEVICE_MODEL_NOT_PHYSICAL_CELL,,0
wl_pdrive,COMPOSITE_PARAMETERIZED_READY,Pinv,1
