cell_name,vdd_y_min,vdd_y_max,vss_y_min,vss_y_max,vdd_layer,vss_layer
PINV_NW180_PW270_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW180_PW540_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW2430_PW7290_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW250_PW500_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW270_PW810_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW360_PW1080_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW450_PW1350_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW90_PW270_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
PINV_NW910_PW2430_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
TRANSMISSION_GATE_NW250_PW500_L50,1.7875,1.8525,-0.0325,0.0325,m1,m1
