cell_name,cell_width,cell_height,boundary_bbox,vdd_layer,vdd_bbox,vss_layer,vss_bbox,rail_width,rail_extension_to_left_boundary,rail_extension_to_right_boundary,orientation_support,mirror_support,rotation_support
PINV_NW180_PW270_L50,0.7975,1.8875,"[-0.055, -0.0325, 0.7425, 1.855]",m1,"[0.0, 1.7875, 0.6875, 1.8525]",m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW180_PW540_L50,0.7975,1.8875,"[-0.055, -0.0325, 0.7425, 1.855]",m1,"[0.0, 1.7875, 0.6875, 1.8525]",m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW2430_PW7290_L50,4.0975,1.8875,"[-0.055, -0.0325, 4.0425, 1.855]",m1,"[0.0, 1.7875, 3.9875, 1.8525]",m1,"[0.0, -0.0325, 3.9875, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW250_PW500_L50,0.7975,1.8875,"[-0.055, -0.0325, 0.7425, 1.855]",m1,"[0.0, 1.7875, 0.6875, 1.8525]",m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW270_PW810_L50,1.0725,1.8875,"[-0.055, -0.0325, 1.0175, 1.855]",m1,"[0.0, 1.7875, 0.9625, 1.8525]",m1,"[0.0, -0.0325, 0.9625, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW360_PW1080_L50,1.0725,1.8875,"[-0.055, -0.0325, 1.0175, 1.855]",m1,"[0.0, 1.7875, 0.9625, 1.8525]",m1,"[0.0, -0.0325, 0.9625, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW450_PW1350_L50,1.3475,1.8875,"[-0.055, -0.0325, 1.2925, 1.855]",m1,"[0.0, 1.7875, 1.2375, 1.8525]",m1,"[0.0, -0.0325, 1.2375, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW90_PW270_L50,0.7975,1.8875,"[-0.055, -0.0325, 0.7425, 1.855]",m1,"[0.0, 1.7875, 0.6875, 1.8525]",m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
PINV_NW910_PW2430_L50,1.8975,1.8875,"[-0.055, -0.0325, 1.8425, 1.855]",m1,"[0.0, 1.7875, 1.7875, 1.8525]",m1,"[0.0, -0.0325, 1.7875, 0.0325]",0.065,0.055,0.055,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
TRANSMISSION_GATE_NW250_PW500_L50,0.7975,1.885,"[-0.055, -0.0325, 0.7425, 1.8525]",m1,"[0.0, 1.7875, 0.56, 1.8525]",m1,"[0.0, -0.0325, 0.56, 0.0325]",0.065,0.055,0.1825,R0_ONLY_ASSUMED_FOR_V1,MX_NOT_PROVEN,R90_FORBIDDEN
