module_name,source_file,source_class,source_function,source_line,parent_modules,top_pin_order,top_pin_roles,power_pin_names,ground_pin_names,clock_pin_names,control_pin_names,source_topology_hash,parameter_contract_status,topology_resolution_status,unresolved_reason,instance_count_formula,operation_dependency,row_dependency,column_dependency,address_width_dependency,data_width_dependency,drive_scale_dependency,stage_count_dependency
TRANSMISSION_GATE,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,TransmissionGate,__class__,6,,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","power_pin_names:VDD,ground_pin_names:VSS,control_pin_names:CTR_P|CTR_N",['VDD'],['VSS'],[],"['CTR_P', 'CTR_N']",3ba4c0848c88f7623b398f5e,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,constant_per_module_definition,none,none,none,none,none,none,none
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,__class__,42,,"['VDD', 'VSS', 'A', 'Z']","power_pin_names:VDD,ground_pin_names:VSS",['VDD'],['VSS'],[],[],731fe63bcdd3718b66b7f004,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,fixed inverter chain with scaled widths,none,none,none,none,none,drive_scale,none
pdrive2_for_pre,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,__class__,102,,"['VDD', 'VSS', 'A', 'Z']","power_pin_names:VDD,ground_pin_names:VSS",['VDD'],['VSS'],[],[],5be162fc44f00346e4f4c1ba,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,fixed inverter chain with scaled widths,none,none,none,none,none,drive_scale,none
wl_pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,wl_pdrive,__class__,145,,"['VDD', 'VSS', 'A', 'Z']","power_pin_names:VDD,ground_pin_names:VSS",['VDD'],['VSS'],[],[],8abc3a1a7084f62d3affcebd,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,constant_per_module_definition,none,none,none,none,none,none,none
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,__class__,185,,"['VDD', 'VSS', 'D', 'Q', 'CLK']","power_pin_names:VDD,ground_pin_names:VSS,clock_pin_names:CLK",['VDD'],['VSS'],['CLK'],[],aaeebff80a7b5bd7353753e4,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,constant_per_module_definition,none,none,none,none,none,none,none
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DFF_BUF,__class__,257,,"['VDD', 'VSS', 'D', 'Q', 'QB', 'CLK']","power_pin_names:VDD,ground_pin_names:VSS,clock_pin_names:CLK",['VDD'],['VSS'],['CLK'],[],c73f55c1044c9e58791eff5c,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,constant_per_module_definition,none,none,none,none,none,none,none
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,__class__,299,,"['VDD', 'VSS', 'in', 'out']","power_pin_names:VDD,ground_pin_names:VSS",['VDD'],['VSS'],[],[],72975164e4c2eef594d23fd2,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,45 inverter instances,none,none,none,none,none,none,fixed 9 inverter stages with 4 loads per stage
wen_delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,WenDelayChain,__class__,359,,"['VDD', 'VSS', 'in', 'out']","power_pin_names:VDD,ground_pin_names:VSS",['VDD'],['VSS'],[],[],3e6a1ccd75e0d3b5e1dcc6d1,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,constant_per_module_definition,none,none,none,none,none,none,none
ADDR_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,ADDR_DFF,__class__,405,,"['VDD', 'VSS', 'CLK', 'A{i}', 'A_dff{i}']","power_pin_names:VDD,ground_pin_names:VSS,clock_pin_names:CLK",['VDD'],['VSS'],['CLK'],[],f30002f29be85adf2d3e3dc2,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,ceil(log2(num_rows)) DFF children,none,num_rows,none,ceil(log2(num_rows)),none,none,none
DATA_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DATA_DFF,__class__,443,,"['VDD', 'VSS', 'CLK', 'DIN{i}', 'DIN_dff{i}']","power_pin_names:VDD,ground_pin_names:VSS,clock_pin_names:CLK",['VDD'],['VSS'],['CLK'],[],f0c7555e1c8ef1751dc1a670,LOCKED_VIA_SOURCE_AND_BINDING_PLAN,SOURCE_EXACT_RESOLVED,,num_cols DFF children,none,none,num_cols,none,num_cols,none,none
