module_name,pin_count,pins,source_trace
SRAM_6T_CORE_16x16,50,"['VDD', 'VSS', 'BL0', 'BL1', 'BL2', 'BL3', 'BL4', 'BL5', 'BL6', 'BL7', 'BL8', 'BL9', 'BL10', 'BL11', 'BL12', 'BL13', 'BL14', 'BL15', 'BLB0', 'BLB1', 'BLB2', 'BLB3', 'BLB4', 'BLB5', 'BLB6', 'BLB7', 'BLB8', 'BLB9', 'BLB10', 'BLB11', 'BLB12', 'BLB13', 'BLB14', 'BLB15', 'WL0', 'WL1', 'WL2', 'WL3', 'WL4', 'WL5', 'WL6', 'WL7', 'WL8', 'WL9', 'WL10', 'WL11', 'WL12', 'WL13', 'WL14', 'WL15']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'SRAM_6T_CORE_16x16', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL', 'BLB', 'WL']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
sram_17x1_replica_column,21,"['VDD', 'VSS', 'RBL', 'RBLB', 'WL0', 'WL1', 'WL2', 'WL3', 'WL4', 'WL5', 'WL6', 'WL7', 'WL8', 'WL9', 'WL10', 'WL11', 'WL12', 'WL13', 'WL14', 'WL15', 'WL16']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'sram_17x1_replica_column', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
Replica_CELL,5,"['VDD', 'VSS', 'RBL', 'RBLB', 'WL']","{'source_file': 'sram_compiler/subcircuits/replica_column.py', 'source_class': 'Replica_Cell', 'source_module_name': 'Replica_CELL', 'role_hint': 'replica'}"
AND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND2', 'source_module_name': 'AND2', 'role_hint': 'support_cell'}"
PNAND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND2', 'source_module_name': 'PNAND2', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TIME,60,"['VDD', 'VSS', 'clk', 'csb', 'web', 'clk_buf', 'clk_bar', 'cs_bar', 'cs', 'we_bar', 'we', 'gated_clk_bar', 'gated_clk_buf', 'wl_en', 'A0', 'A1', 'A2', 'A3', 'A_dff0', 'A_dff1', 'A_dff2', 'A_dff3', 'DIN0', 'DIN1', 'DIN2', 'DIN3', 'DIN4', 'DIN5', 'DIN6', 'DIN7', 'DIN8', 'DIN9', 'DIN10', 'DIN11', 'DIN12', 'DIN13', 'DIN14', 'DIN15', 'DIN_dff0', 'DIN_dff1', 'DIN_dff2', 'DIN_dff3', 'DIN_dff4', 'DIN_dff5', 'DIN_dff6', 'DIN_dff7', 'DIN_dff8', 'DIN_dff9', 'DIN_dff10', 'DIN_dff11', 'DIN_dff12', 'DIN_dff13', 'DIN_dff14', 'DIN_dff15', 'rbl', 'rbl_delay', 'rbl_delay_bar', 's_en', 'w_en', 'PRE']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'TIME', 'source_module_name': 'TIME', 'role_hint': 'control_timing'}"
ADDR_DFF,11,"['VDD', 'VSS', 'CLK', 'A0', 'A1', 'A2', 'A3', 'A_dff0', 'A_dff1', 'A_dff2', 'A_dff3']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'ADDR_DFF', 'source_module_name': 'ADDR_DFF', 'role_hint': 'control_timing'}"
DFF,5,"['VDD', 'VSS', 'D', 'Q', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
