module_name,pin_name,canonical_name,pin_role,source_trace
OPENYIELD_SRAM_TOP_V1,VDD,vdd,power,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,VSS,vss,ground,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,clk,clk,clock,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,csb,csb,chip_select_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,web,web,write_enable_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,A0,a0,address,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,A1,a1,address,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,A2,a2,address,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,A3,a3,address,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN0,din0,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
