candidate_id,relative_path,size_bytes,top_cell,cell_count,sref_count,boundary_count,bbox,contains_complete_sram_top,candidate_score,mux_present,power_rail_overlap_positive_count,rail_stitch_visible,selection_reasons,selected_as_golden
GDS_001,full_layout_collection/B_openram_reference_32x16.gds,887842,sram_1rw_32x16_freepdk45,116,3397,7800,"{""x0"": -0.1, ""y0"": -3.5975, ""x1"": 69.955, ""y1"": 53.61, ""width"": 70.05499999999999, ""height"": 57.207499999999996, ""shape_count"": 7800}",True,81,True,,UNKNOWN,filename contains final/full/top; top cell looks like SRAM top; contains 7 expected SRAM structure categories,False
GDS_002,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.complete.gds,375402,sram_16x16_wpr1_fd45,33,527,5331,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 25.7825, ""y1"": 52.755, ""width"": 25.8825, ""height"": 52.86, ""shape_count"": 5331}",True,124,True,30,True,filename contains complete; filename contains final/full/top; filename contains sram; duplicate export bundle path; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_003,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.gds,303082,sram_16x16_wpr1_fd45,33,527,4201,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 25.7825, ""y1"": 52.755, ""width"": 25.8825, ""height"": 52.86, ""shape_count"": 4201}",True,84,True,30,True,filename contains final/full/top; filename contains sram; duplicate export bundle path; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_004,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.integration.gds,130984,sram_16x16_wpr1_fd45,1,0,2017,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 25.7825, ""y1"": 52.755, ""width"": 25.7825, ""height"": 52.755, ""shape_count"": 2017}",True,-20,False,,UNKNOWN,filename contains final/full/top; filename contains sram; duplicate export bundle path; non-golden export class: integration; top cell looks like SRAM top,False
GDS_005,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.presentation.gds,294884,sram_16x16_wpr1_fd45,33,527,4201,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 25.7825, ""y1"": 52.755, ""width"": 25.8825, ""height"": 52.86, ""shape_count"": 4201}",True,24,True,,UNKNOWN,filename contains final/full/top; filename contains sram; duplicate export bundle path; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_006,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.complete.gds,420690,sram_16x32_wpr2_fd45,33,818,5875,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.3125, ""y1"": 45.275, ""width"": 36.4125, ""height"": 45.379999999999995, ""shape_count"": 5875}",True,124,True,30,True,filename contains complete; filename contains final/full/top; filename contains sram; duplicate export bundle path; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_007,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.gds,333650,sram_16x32_wpr2_fd45,33,818,4515,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.3125, ""y1"": 45.275, ""width"": 36.4125, ""height"": 45.379999999999995, ""shape_count"": 4515}",True,84,True,30,True,filename contains final/full/top; filename contains sram; duplicate export bundle path; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_008,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.integration.gds,151124,sram_16x32_wpr2_fd45,1,0,2331,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 36.3125, ""y1"": 45.275, ""width"": 36.3125, ""height"": 45.275, ""shape_count"": 2331}",True,-19,False,,UNKNOWN,filename contains final/full/top; filename contains sram; duplicate export bundle path; non-golden export class: integration; top cell looks like SRAM top,False
GDS_009,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.presentation.gds,325408,sram_16x32_wpr2_fd45,33,818,4515,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.3125, ""y1"": 45.275, ""width"": 36.4125, ""height"": 45.379999999999995, ""shape_count"": 4515}",True,24,True,,UNKNOWN,filename contains final/full/top; filename contains sram; duplicate export bundle path; non-golden export class: presentation; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
GDS_010,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.complete.gds,289850,sram_2x16_wpr1_fd45,33,219,4183,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 15.2025, ""y1"": 47.015, ""width"": 15.3025, ""height"": 47.12, ""shape_count"": 4183}",True,119,True,30,True,filename contains complete; filename contains final/full/top; filename contains sram; duplicate export bundle path; top cell looks like SRAM top; contains 8 expected SRAM structure categories,False
