file_id,relative_path,file_type,extension,size_bytes
ZIP_0001,full_layout_collection/B_openram_reference_32x16.gds,gds,.gds,887842
ZIP_0002,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,7879
ZIP_0003,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.after_floorplan.svg,image,.svg,6852
ZIP_0004,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.before_floorplan.svg,image,.svg,6853
ZIP_0005,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.complete.gds,gds,.gds,375402
ZIP_0006,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.gds,gds,.gds,303082
ZIP_0007,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.integration.gds,gds,.gds,130984
ZIP_0008,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.layout.json,json,.json,1215721
ZIP_0009,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.lef,design_artifact,.lef,6858
ZIP_0010,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.left_side_compound_whitespace.svg,image,.svg,6866
ZIP_0011,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.moved_module_arrows.svg,image,.svg,7121
ZIP_0012,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.occupancy.svg,image,.svg,5920
ZIP_0013,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.presentation.gds,gds,.gds,294884
ZIP_0014,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.report.json,json,.json,1312519
ZIP_0015,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.report.md,text_report,.md,51291
ZIP_0016,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.sp,design_artifact,.sp,27542
ZIP_0017,full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.two_zone_repacking.svg,image,.svg,7120
ZIP_0018,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.accepted_rejected_candidates.svg,image,.svg,6787
ZIP_0019,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.after_floorplan.svg,image,.svg,5760
ZIP_0020,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.before_floorplan.svg,image,.svg,5761
ZIP_0021,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.complete.gds,gds,.gds,420690
ZIP_0022,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.gds,gds,.gds,333650
ZIP_0023,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.integration.gds,gds,.gds,151124
ZIP_0024,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.layout.json,json,.json,1381518
ZIP_0025,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.lef,design_artifact,.lef,6987
ZIP_0026,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.left_side_compound_whitespace.svg,image,.svg,5774
ZIP_0027,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.moved_module_arrows.svg,image,.svg,6487
ZIP_0028,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.occupancy.svg,image,.svg,6015
ZIP_0029,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.presentation.gds,gds,.gds,325408
ZIP_0030,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.report.json,json,.json,1480304
ZIP_0031,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.report.md,text_report,.md,51795
ZIP_0032,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.sp,design_artifact,.sp,42741
ZIP_0033,full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.two_zone_repacking.svg,image,.svg,6486
ZIP_0034,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.accepted_rejected_candidates.svg,image,.svg,8013
ZIP_0035,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.after_floorplan.svg,image,.svg,6986
ZIP_0036,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.before_floorplan.svg,image,.svg,6987
ZIP_0037,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.complete.gds,gds,.gds,289850
ZIP_0038,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.gds,gds,.gds,261370
ZIP_0039,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.integration.gds,gds,.gds,100136
ZIP_0040,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.layout.json,json,.json,849742
ZIP_0041,full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.lef,design_artifact,.lef,2567
