binding_id,net_name,net_category,layout_role,source_module,source_pin,target_module,target_pin,implementation_strategy,expected_geometry_direction,expected_routing_layer_hint,requires_pitch_alignment,requires_top_level_routing,requires_power_stitching
PINBIND_001_DFF_ROW,A[i],ADDRESS,address_distribution,SRAM_TOP,A[i],DFF_ROW,A[i],periphery_bus,periphery_bus,control_or_address_bus_layer,False,True,False
PINBIND_002_row_decoder,A_dff[i],ADDRESS,address_distribution,DFF_ROW,A_dff[i],row_decoder,A[i],periphery_bus,periphery_bus,control_or_address_bus_layer,False,True,False
PINBIND_003_wordline_driver,DEC_WL[i],WORDLINE,row_pitch_aligned_wordline,row_decoder,WL[i],wordline_driver,A,horizontal_across_array_rows,horizontal_across_array_rows,row_path_and_wordline_distribution_layer,True,True,False
PINBIND_004_wordline_driver,WL_EN,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,wl_en,wordline_driver,B,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_005_bitcell_array,WL[i],WORDLINE,row_pitch_aligned_wordline,wordline_driver,Z,bitcell_array,WL[i],horizontal_across_array_rows,horizontal_across_array_rows,row_path_and_wordline_distribution_layer,True,True,False
PINBIND_006_precharge,BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,bitcell_array,BL[i]/BLB[i],precharge,BL/BLB,vertical_along_array_columns,vertical_along_array_columns,bitline_stack,True,True,False
PINBIND_007_column_mux,BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,precharge,BL/BLB,column_mux,BL[i]/BLB[i],vertical_along_array_columns,vertical_along_array_columns,bitline_stack,True,True,False
PINBIND_008_sense_amp,SA_IN[*];SA_INB[*],DATA_IN,write_data_delivery,column_mux,SA_IN/SA_INB,sense_amp,IN/INB,periphery_to_column_path,periphery_to_column_path,column_path_input_layer,False,True,False
PINBIND_009_sense_amp,BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,bitcell_array,BL[i]/BLB[i],sense_amp,IN/INB,vertical_along_array_columns,vertical_along_array_columns,bitline_stack,True,True,False
PINBIND_010_SRAM_TOP,SA_Q[*];SA_QB[*],DATA_OUT,read_data_observation,sense_amp,Q/QB,SRAM_TOP,dout path,column_path_to_top_io,column_path_to_top_io,column_path_output_layer,False,True,False
PINBIND_011_DFF_ROW,DIN[i],DATA_IN,write_data_delivery,SRAM_TOP,DIN[i],DFF_ROW,DIN[i],periphery_to_column_path,periphery_to_column_path,column_path_input_layer,False,True,False
PINBIND_012_write_driver,DIN_dff[i],DATA_IN,write_data_delivery,DFF_ROW,DIN_dff[i],write_driver,DIN,periphery_to_column_path,periphery_to_column_path,column_path_input_layer,False,True,False
PINBIND_013_write_driver,w_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,w_en,write_driver,EN,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_014_bitcell_array,BL[i];BLB[i],BITLINE_BAR,column_pitch_aligned_bitline_bar,write_driver,BL/BLB,bitcell_array,BL[i]/BLB[i],vertical_along_array_columns,vertical_along_array_columns,bitline_stack,True,True,False
PINBIND_015_DELAY_CHAIN,rbl,BITLINE,column_pitch_aligned_bitline,replica_array,RBL/RBLB,DELAY_CHAIN,in,vertical_along_array_columns,vertical_along_array_columns,bitline_stack,True,True,False
PINBIND_016_SENSE_ENABLE_PATH,rbl_delay,TIMING_REPLICA,replica_timing_distribution,DELAY_CHAIN,out,SENSE_ENABLE_PATH,input,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_017_WRITE_ENABLE_PATH,rbl_delay_bar,TIMING_REPLICA,replica_timing_distribution,DELAY_CHAIN,out_bar,WRITE_ENABLE_PATH,input,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_018_precharge,PRE,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,PRE,precharge,ENB,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_019_sense_amp,s_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,s_en,sense_amp,EN,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_020_DFF_ROW,clk_buf,CLOCK,clock_distribution,CONTROL_LOGIC,clk_buf,DFF_ROW,CLK,top_clock_spine,top_clock_spine,clock_distribution_layer,False,True,False
PINBIND_021_GATED_CLOCK_PATH,gated_clk_bar;gated_clk_buf,CLOCK,clock_distribution,CONTROL_LOGIC,gated_clk_bar/gated_clk_buf,GATED_CLOCK_PATH,internal gates,top_clock_spine,top_clock_spine,clock_distribution_layer,False,True,False
PINBIND_022_WORDLINE_ENABLE_PATH,wl_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,wl_en,WORDLINE_ENABLE_PATH,derived output,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_023_PRECHARGE_ENABLE_PATH,PRE,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,PRE,PRECHARGE_ENABLE_PATH,derived output,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_024_WRITE_ENABLE_PATH,w_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,w_en,WRITE_ENABLE_PATH,derived output,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
PINBIND_025_SENSE_ENABLE_PATH,s_en,TIMING_REPLICA,replica_timing_distribution,CONTROL_LOGIC,s_en,SENSE_ENABLE_PATH,derived output,replica_chain_periphery_route,replica_chain_periphery_route,control_timing_layer,False,True,False
