axis,first,second,row,column,pitch,intended_gap,passed
horizontal,bitcell_0000,bitcell_0001,0,0,0.705,0.0,True
horizontal,bitcell_0001,bitcell_0002,0,1,0.705,0.0,True
horizontal,bitcell_0002,bitcell_0003,0,2,0.705,0.0,True
horizontal,bitcell_0003,bitcell_0004,0,3,0.705,0.0,True
horizontal,bitcell_0004,bitcell_0005,0,4,0.705,0.0,True
horizontal,bitcell_0005,bitcell_0006,0,5,0.705,0.0,True
horizontal,bitcell_0006,bitcell_0007,0,6,0.705,0.0,True
horizontal,bitcell_0007,bitcell_0008,0,7,0.705,0.0,True
horizontal,bitcell_0008,bitcell_0009,0,8,0.705,0.0,True
horizontal,bitcell_0009,bitcell_0010,0,9,0.705,0.0,True
horizontal,bitcell_0010,bitcell_0011,0,10,0.705,0.0,True
horizontal,bitcell_0011,bitcell_0012,0,11,0.705,0.0,True
horizontal,bitcell_0012,bitcell_0013,0,12,0.705,0.0,True
horizontal,bitcell_0013,bitcell_0014,0,13,0.705,0.0,True
horizontal,bitcell_0014,bitcell_0015,0,14,0.705,0.0,True
horizontal,bitcell_0016,bitcell_0017,1,0,0.705,0.0,True
horizontal,bitcell_0017,bitcell_0018,1,1,0.705,0.0,True
horizontal,bitcell_0018,bitcell_0019,1,2,0.705,0.0,True
horizontal,bitcell_0019,bitcell_0020,1,3,0.705,0.0,True
horizontal,bitcell_0020,bitcell_0021,1,4,0.705,0.0,True
horizontal,bitcell_0021,bitcell_0022,1,5,0.705,0.0,True
horizontal,bitcell_0022,bitcell_0023,1,6,0.705,0.0,True
horizontal,bitcell_0023,bitcell_0024,1,7,0.705,0.0,True
horizontal,bitcell_0024,bitcell_0025,1,8,0.705,0.0,True
horizontal,bitcell_0025,bitcell_0026,1,9,0.705,0.0,True
horizontal,bitcell_0026,bitcell_0027,1,10,0.705,0.0,True
horizontal,bitcell_0027,bitcell_0028,1,11,0.705,0.0,True
horizontal,bitcell_0028,bitcell_0029,1,12,0.705,0.0,True
horizontal,bitcell_0029,bitcell_0030,1,13,0.705,0.0,True
horizontal,bitcell_0030,bitcell_0031,1,14,0.705,0.0,True
horizontal,bitcell_0032,bitcell_0033,2,0,0.705,0.0,True
horizontal,bitcell_0033,bitcell_0034,2,1,0.705,0.0,True
horizontal,bitcell_0034,bitcell_0035,2,2,0.705,0.0,True
horizontal,bitcell_0035,bitcell_0036,2,3,0.705,0.0,True
horizontal,bitcell_0036,bitcell_0037,2,4,0.705,0.0,True
horizontal,bitcell_0037,bitcell_0038,2,5,0.705,0.0,True
horizontal,bitcell_0038,bitcell_0039,2,6,0.705,0.0,True
horizontal,bitcell_0039,bitcell_0040,2,7,0.705,0.0,True
horizontal,bitcell_0040,bitcell_0041,2,8,0.705,0.0,True
horizontal,bitcell_0041,bitcell_0042,2,9,0.705,0.0,True
horizontal,bitcell_0042,bitcell_0043,2,10,0.705,0.0,True
