instance,hierarchical_path,cell,role,orientation,x0,y0,x1,y1
bitcell_0000,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[0],cell_1rw,bitcell,R0,2.345,2.98,3.05,4.345
bitcell_0001,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[16],cell_1rw,bitcell,R0,3.05,2.98,3.755,4.345
bitcell_0002,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[32],cell_1rw,bitcell,R0,3.755,2.98,4.46,4.345
bitcell_0003,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[48],cell_1rw,bitcell,R0,4.46,2.98,5.165,4.345
bitcell_0004,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[64],cell_1rw,bitcell,R0,5.165,2.98,5.87,4.345
bitcell_0005,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[80],cell_1rw,bitcell,R0,5.87,2.98,6.575,4.345
bitcell_0006,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[96],cell_1rw,bitcell,R0,6.575,2.98,7.28,4.345
bitcell_0007,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[112],cell_1rw,bitcell,R0,7.28,2.98,7.985,4.345
bitcell_0008,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[128],cell_1rw,bitcell,R0,7.985,2.98,8.69,4.345
bitcell_0009,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[144],cell_1rw,bitcell,R0,8.69,2.98,9.395,4.345
bitcell_0010,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[160],cell_1rw,bitcell,R0,9.395,2.98,10.1,4.345
bitcell_0011,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[176],cell_1rw,bitcell,R0,10.1,2.98,10.805,4.345
bitcell_0012,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[192],cell_1rw,bitcell,R0,10.805,2.98,11.51,4.345
bitcell_0013,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[208],cell_1rw,bitcell,R0,11.51,2.98,12.215,4.345
bitcell_0014,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[224],cell_1rw,bitcell,R0,12.215,2.98,12.92,4.345
bitcell_0015,sram_capped_replica_bitcell_array/sram_replica_bitcell_array[0]/sram_bitcell_array[0]/cell_1rw[240],cell_1rw,bitcell,R0,12.92,2.98,13.625,4.345
