instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_x,endpoint_y,top_component_id,witness_path_shape_count,witness_path_via_count,passed
bitcell_0000,cell_1rw,R0,VDD,m1,2.69,4.345,48090,4105,324,True
bitcell_0000,cell_1rw,R0,VSS,m1,2.69,2.98,60043,43503,13332,True
bitcell_0001,cell_1rw,R0,VDD,m1,3.395,4.345,48090,4105,324,True
bitcell_0001,cell_1rw,R0,VSS,m1,3.395,2.98,60043,43503,13332,True
bitcell_0002,cell_1rw,R0,VDD,m1,4.1,4.345,48090,4105,324,True
bitcell_0002,cell_1rw,R0,VSS,m1,4.1,2.98,60043,43503,13332,True
bitcell_0003,cell_1rw,R0,VDD,m1,4.805,4.345,48090,4105,324,True
bitcell_0003,cell_1rw,R0,VSS,m1,4.805,2.98,60043,43503,13332,True
bitcell_0004,cell_1rw,R0,VDD,m1,5.51,4.345,48090,4105,324,True
bitcell_0004,cell_1rw,R0,VSS,m1,5.51,2.98,60043,43503,13332,True
bitcell_0005,cell_1rw,R0,VDD,m1,6.215,4.345,48090,4105,324,True
bitcell_0005,cell_1rw,R0,VSS,m1,6.215,2.98,60043,43503,13332,True
bitcell_0006,cell_1rw,R0,VDD,m1,6.92,4.345,48090,4105,324,True
bitcell_0006,cell_1rw,R0,VSS,m1,6.92,2.98,60043,43503,13332,True
bitcell_0007,cell_1rw,R0,VDD,m1,7.625,4.345,48090,4105,324,True
bitcell_0007,cell_1rw,R0,VSS,m1,7.625,2.98,60043,43503,13332,True
bitcell_0008,cell_1rw,R0,VDD,m1,8.33,4.345,48090,4105,324,True
bitcell_0008,cell_1rw,R0,VSS,m1,8.33,2.98,60043,43503,13332,True
bitcell_0009,cell_1rw,R0,VDD,m1,9.035,4.345,48090,4105,324,True
bitcell_0009,cell_1rw,R0,VSS,m1,9.035,2.98,60043,43503,13332,True
bitcell_0010,cell_1rw,R0,VDD,m1,9.74,4.345,48090,4105,324,True
bitcell_0010,cell_1rw,R0,VSS,m1,9.74,2.98,60043,43503,13332,True
bitcell_0011,cell_1rw,R0,VDD,m1,10.445,4.345,48090,4105,324,True
bitcell_0011,cell_1rw,R0,VSS,m1,10.445,2.98,60043,43503,13332,True
bitcell_0012,cell_1rw,R0,VDD,m1,11.15,4.345,48090,4105,324,True
bitcell_0012,cell_1rw,R0,VSS,m1,11.15,2.98,60043,43503,13332,True
bitcell_0013,cell_1rw,R0,VDD,m1,11.855,4.345,48090,4105,324,True
bitcell_0013,cell_1rw,R0,VSS,m1,11.855,2.98,60043,43503,13332,True
bitcell_0014,cell_1rw,R0,VDD,m1,12.56,4.345,48090,4105,324,True
bitcell_0014,cell_1rw,R0,VSS,m1,12.56,2.98,60043,43503,13332,True
bitcell_0015,cell_1rw,R0,VDD,m1,13.265,4.345,48090,4105,324,True
bitcell_0015,cell_1rw,R0,VSS,m1,13.265,2.98,60043,43503,13332,True
bitcell_0016,cell_1rw,MX,VDD,m1,2.69,4.345,48090,4105,324,True
bitcell_0016,cell_1rw,MX,VSS,m1,2.69,5.71,60043,43503,13332,True
bitcell_0017,cell_1rw,MX,VDD,m1,3.395,4.345,48090,4105,324,True
bitcell_0017,cell_1rw,MX,VSS,m1,3.395,5.71,60043,43503,13332,True
bitcell_0018,cell_1rw,MX,VDD,m1,4.1,4.345,48090,4105,324,True
bitcell_0018,cell_1rw,MX,VSS,m1,4.1,5.71,60043,43503,13332,True
bitcell_0019,cell_1rw,MX,VDD,m1,4.805,4.345,48090,4105,324,True
bitcell_0019,cell_1rw,MX,VSS,m1,4.805,5.71,60043,43503,13332,True
bitcell_0020,cell_1rw,MX,VDD,m1,5.51,4.345,48090,4105,324,True
bitcell_0020,cell_1rw,MX,VSS,m1,5.51,5.71,60043,43503,13332,True
bitcell_0021,cell_1rw,MX,VDD,m1,6.215,4.345,48090,4105,324,True
bitcell_0021,cell_1rw,MX,VSS,m1,6.215,5.71,60043,43503,13332,True
bitcell_0022,cell_1rw,MX,VDD,m1,6.92,4.345,48090,4105,324,True
bitcell_0022,cell_1rw,MX,VSS,m1,6.92,5.71,60043,43503,13332,True
bitcell_0023,cell_1rw,MX,VDD,m1,7.625,4.345,48090,4105,324,True
bitcell_0023,cell_1rw,MX,VSS,m1,7.625,5.71,60043,43503,13332,True
bitcell_0024,cell_1rw,MX,VDD,m1,8.33,4.345,48090,4105,324,True
bitcell_0024,cell_1rw,MX,VSS,m1,8.33,5.71,60043,43503,13332,True
bitcell_0025,cell_1rw,MX,VDD,m1,9.035,4.345,48090,4105,324,True
bitcell_0025,cell_1rw,MX,VSS,m1,9.035,5.71,60043,43503,13332,True
bitcell_0026,cell_1rw,MX,VDD,m1,9.74,4.345,48090,4105,324,True
bitcell_0026,cell_1rw,MX,VSS,m1,9.74,5.71,60043,43503,13332,True
bitcell_0027,cell_1rw,MX,VDD,m1,10.445,4.345,48090,4105,324,True
bitcell_0027,cell_1rw,MX,VSS,m1,10.445,5.71,60043,43503,13332,True
bitcell_0028,cell_1rw,MX,VDD,m1,11.15,4.345,48090,4105,324,True
bitcell_0028,cell_1rw,MX,VSS,m1,11.15,5.71,60043,43503,13332,True
bitcell_0029,cell_1rw,MX,VDD,m1,11.855,4.345,48090,4105,324,True
bitcell_0029,cell_1rw,MX,VSS,m1,11.855,5.71,60043,43503,13332,True
bitcell_0030,cell_1rw,MX,VDD,m1,12.56,4.345,48090,4105,324,True
bitcell_0030,cell_1rw,MX,VSS,m1,12.56,5.71,60043,43503,13332,True
bitcell_0031,cell_1rw,MX,VDD,m1,13.265,4.345,48090,4105,324,True
bitcell_0031,cell_1rw,MX,VSS,m1,13.265,5.71,60043,43503,13332,True
bitcell_0032,cell_1rw,R0,VDD,m1,2.69,7.075,48090,4105,324,True
bitcell_0032,cell_1rw,R0,VSS,m1,2.69,5.71,60043,43503,13332,True
bitcell_0033,cell_1rw,R0,VDD,m1,3.395,7.075,48090,4105,324,True
bitcell_0033,cell_1rw,R0,VSS,m1,3.395,5.71,60043,43503,13332,True
bitcell_0034,cell_1rw,R0,VDD,m1,4.1,7.075,48090,4105,324,True
bitcell_0034,cell_1rw,R0,VSS,m1,4.1,5.71,60043,43503,13332,True
bitcell_0035,cell_1rw,R0,VDD,m1,4.805,7.075,48090,4105,324,True
bitcell_0035,cell_1rw,R0,VSS,m1,4.805,5.71,60043,43503,13332,True
bitcell_0036,cell_1rw,R0,VDD,m1,5.51,7.075,48090,4105,324,True
bitcell_0036,cell_1rw,R0,VSS,m1,5.51,5.71,60043,43503,13332,True
