contact_count,kind,net,reason,terminal,x,y
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv1_clk_MP_S,0.77,7.0
1,ACTIVE_ACCESS,CLKB,MVP explicit electrical access for LVS-closed baseline,Minv1_clk_MP_D,1.63,7.0
1,POLY_ACCESS,CLK,MVP explicit electrical access for LVS-closed baseline,Minv1_clk_MP_G,1.2,6.53
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv2_D_MP_S,2.27,7.0
1,ACTIVE_ACCESS,D_b,MVP explicit electrical access for LVS-closed baseline,Minv2_D_MP_D,3.1300000000000003,7.0
1,POLY_ACCESS,D,MVP explicit electrical access for LVS-closed baseline,Minv2_D_MP_G,2.7,6.53
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv3_MP_S,3.77,7.0
1,ACTIVE_ACCESS,z2,MVP explicit electrical access for LVS-closed baseline,Minv3_MP_D,4.63,7.0
1,POLY_ACCESS,z1,MVP explicit electrical access for LVS-closed baseline,Minv3_MP_G,4.2,6.53
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv4_MP_S,5.2700000000000005,7.0
1,ACTIVE_ACCESS,z3,MVP explicit electrical access for LVS-closed baseline,Minv4_MP_D,6.13,7.0
1,POLY_ACCESS,z2,MVP explicit electrical access for LVS-closed baseline,Minv4_MP_G,5.7,6.53
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv5_MP_S,6.7700000000000005,7.0
1,ACTIVE_ACCESS,z4,MVP explicit electrical access for LVS-closed baseline,Minv5_MP_D,7.63,7.0
1,POLY_ACCESS,z2,MVP explicit electrical access for LVS-closed baseline,Minv5_MP_G,7.2,6.53
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv6_MP_S,8.27,7.0
1,ACTIVE_ACCESS,Q,MVP explicit electrical access for LVS-closed baseline,Minv6_MP_D,9.129999999999999,7.0
1,POLY_ACCESS,z5,MVP explicit electrical access for LVS-closed baseline,Minv6_MP_G,8.7,6.53
1,ACTIVE_ACCESS,VDD,MVP explicit electrical access for LVS-closed baseline,Minv7_MP_S,9.77,7.0
1,ACTIVE_ACCESS,QB,MVP explicit electrical access for LVS-closed baseline,Minv7_MP_D,10.629999999999999,7.0
1,POLY_ACCESS,Q,MVP explicit electrical access for LVS-closed baseline,Minv7_MP_G,10.2,6.53
1,ACTIVE_ACCESS,D_b,MVP explicit electrical access for LVS-closed baseline,Mtg1_MP_S,11.27,7.0
1,ACTIVE_ACCESS,z1,MVP explicit electrical access for LVS-closed baseline,Mtg1_MP_D,12.129999999999999,7.0
1,POLY_ACCESS,CLK,MVP explicit electrical access for LVS-closed baseline,Mtg1_MP_G,11.7,6.53
1,ACTIVE_ACCESS,z3,MVP explicit electrical access for LVS-closed baseline,Mtg2_MP_S,12.77,7.0
1,ACTIVE_ACCESS,z1,MVP explicit electrical access for LVS-closed baseline,Mtg2_MP_D,13.629999999999999,7.0
1,POLY_ACCESS,CLKB,MVP explicit electrical access for LVS-closed baseline,Mtg2_MP_G,13.2,6.53
1,ACTIVE_ACCESS,z4,MVP explicit electrical access for LVS-closed baseline,Mtg3_MP_S,14.27,7.0
1,ACTIVE_ACCESS,z5,MVP explicit electrical access for LVS-closed baseline,Mtg3_MP_D,15.129999999999999,7.0
1,POLY_ACCESS,CLKB,MVP explicit electrical access for LVS-closed baseline,Mtg3_MP_G,14.7,6.53
1,ACTIVE_ACCESS,QB,MVP explicit electrical access for LVS-closed baseline,Mtg4_MP_S,15.77,7.0
1,ACTIVE_ACCESS,z5,MVP explicit electrical access for LVS-closed baseline,Mtg4_MP_D,16.63,7.0
1,POLY_ACCESS,CLK,MVP explicit electrical access for LVS-closed baseline,Mtg4_MP_G,16.2,6.53
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv1_clk_MN_S,18.77,2.0
1,ACTIVE_ACCESS,CLKB,MVP explicit electrical access for LVS-closed baseline,Minv1_clk_MN_D,19.63,2.0
1,POLY_ACCESS,CLK,MVP explicit electrical access for LVS-closed baseline,Minv1_clk_MN_G,19.2,2.345
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv2_D_MN_S,20.27,2.0
1,ACTIVE_ACCESS,D_b,MVP explicit electrical access for LVS-closed baseline,Minv2_D_MN_D,21.13,2.0
1,POLY_ACCESS,D,MVP explicit electrical access for LVS-closed baseline,Minv2_D_MN_G,20.7,2.345
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv3_MN_S,21.77,2.0
1,ACTIVE_ACCESS,z2,MVP explicit electrical access for LVS-closed baseline,Minv3_MN_D,22.63,2.0
1,POLY_ACCESS,z1,MVP explicit electrical access for LVS-closed baseline,Minv3_MN_G,22.2,2.345
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv4_MN_S,23.27,2.0
1,ACTIVE_ACCESS,z3,MVP explicit electrical access for LVS-closed baseline,Minv4_MN_D,24.13,2.0
1,POLY_ACCESS,z2,MVP explicit electrical access for LVS-closed baseline,Minv4_MN_G,23.7,2.345
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv5_MN_S,24.77,2.0
1,ACTIVE_ACCESS,z4,MVP explicit electrical access for LVS-closed baseline,Minv5_MN_D,25.63,2.0
1,POLY_ACCESS,z2,MVP explicit electrical access for LVS-closed baseline,Minv5_MN_G,25.2,2.345
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv6_MN_S,26.27,2.0
1,ACTIVE_ACCESS,Q,MVP explicit electrical access for LVS-closed baseline,Minv6_MN_D,27.13,2.0
1,POLY_ACCESS,z5,MVP explicit electrical access for LVS-closed baseline,Minv6_MN_G,26.7,2.345
