net_name,x,y,size,landing,route_order,via_role
CLK,-0.005,0.88,0.065,0.135,0,pin_access
CLK,-0.005,2.085,0.065,0.135,0,track_drop
CLK,3.61,1.09,0.065,0.135,0,pin_access
CLK,3.61,2.085,0.065,0.135,0,track_drop
CLK,7.1425,0.545,0.065,0.135,0,pin_access
CLK,7.1425,2.085,0.065,0.135,0,track_drop
CLK,9.6375,0.545,0.065,0.135,0,pin_access
CLK,9.6375,2.085,0.065,0.135,0,track_drop
CLK,13.59,1.09,0.065,0.135,0,pin_access
CLK,13.59,2.085,0.065,0.135,0,track_drop
CLKB,0.5925,0.88,0.065,0.135,1,pin_access
CLKB,0.5925,2.295,0.065,0.135,1,track_drop
CLKB,3.4,0.545,0.065,0.135,1,pin_access
CLKB,3.4,2.295,0.065,0.135,1,track_drop
CLKB,7.3525,1.09,0.065,0.135,1,pin_access
CLKB,7.3525,2.295,0.065,0.135,1,track_drop
CLKB,9.8475,1.09,0.065,0.135,1,pin_access
CLKB,9.8475,2.295,0.065,0.135,1,track_drop
CLKB,13.38,0.545,0.065,0.135,1,pin_access
CLKB,13.38,2.295,0.065,0.135,1,track_drop
D,1.2425,0.88,0.065,0.135,2,pin_access
D,1.2425,2.505,0.065,0.135,2,track_drop
D_b,1.84,0.88,0.065,0.135,3,pin_access
D_b,1.84,2.715,0.065,0.135,3,track_drop
D_b,2.51,0.88,0.065,0.135,3,pin_access
D_b,2.51,2.715,0.065,0.135,3,track_drop
z1,3.055,0.88,0.065,0.135,4,pin_access
z1,3.055,2.925,0.065,0.135,4,track_drop
z1,3.82,0.88,0.065,0.135,4,pin_access
z1,3.82,2.925,0.065,0.135,4,track_drop
z1,6.7975,0.88,0.065,0.135,4,pin_access
z1,6.7975,2.925,0.065,0.135,4,track_drop
z2,4.335,0.88,0.065,0.135,5,pin_access
z2,4.335,3.135,0.065,0.135,5,track_drop
z2,4.985,0.88,0.065,0.135,5,pin_access
z2,4.985,3.135,0.065,0.135,5,track_drop
z2,7.5625,0.88,0.065,0.135,5,pin_access
z2,7.5625,3.135,0.065,0.135,5,track_drop
z3,5.5825,0.88,0.065,0.135,6,pin_access
z3,5.5825,3.345,0.065,0.135,6,track_drop
z3,6.2525,0.88,0.065,0.135,6,pin_access
z3,6.2525,3.345,0.065,0.135,6,track_drop
z4,8.0775,0.88,0.065,0.135,7,pin_access
z4,8.0775,3.555,0.065,0.135,7,track_drop
z4,8.7475,0.88,0.065,0.135,7,pin_access
z4,8.7475,3.555,0.065,0.135,7,track_drop
z5,9.2925,0.88,0.065,0.135,8,pin_access
z5,9.2925,3.765,0.065,0.135,8,track_drop
z5,10.0575,0.88,0.065,0.135,8,pin_access
z5,10.0575,3.765,0.065,0.135,8,track_drop
z5,13.035,0.88,0.065,0.135,8,pin_access
z5,13.035,3.765,0.065,0.135,8,track_drop
Q,10.5725,0.88,0.065,0.135,9,pin_access
Q,10.5725,3.975,0.065,0.135,9,track_drop
Q,11.2225,0.88,0.065,0.135,9,pin_access
Q,11.2225,3.975,0.065,0.135,9,track_drop
QB,11.82,0.88,0.065,0.135,10,pin_access
QB,11.82,4.185,0.065,0.135,10,track_drop
QB,12.49,0.88,0.065,0.135,10,pin_access
QB,12.49,4.185,0.065,0.135,10,track_drop
