endpoint,instance_name,net_name,candidate_direction,access_mode,selected_via_center,m1_landing_bbox,m2_landing_bbox,grid_aligned,blocked
inv1_clk.A,inv1_clk,CLK,left,directional_escape,"[-0.005, 0.88]","{'lx': -0.0725, 'by': 0.8125, 'rx': 0.0625, 'uy': 0.9475}","{'lx': -0.0725, 'by': 0.8125, 'rx': 0.0625, 'uy': 0.9475}",True,False
inv1_clk.A,inv1_clk,CLK,up,directional_escape,"[0.195, 1.045]","{'lx': 0.1275, 'by': 0.9775, 'rx': 0.2625, 'uy': 1.1125}","{'lx': 0.1275, 'by': 0.9775, 'rx': 0.2625, 'uy': 1.1125}",True,False
inv1_clk.A,inv1_clk,CLK,right,directional_escape,"[0.395, 0.88]","{'lx': 0.3275, 'by': 0.8125, 'rx': 0.4625, 'uy': 0.9475}","{'lx': 0.3275, 'by': 0.8125, 'rx': 0.4625, 'uy': 0.9475}",True,False
tg1.CTR_P,tg1,CLK,right,directional_escape,"[3.4, 1.09]","{'lx': 3.3325, 'by': 1.0225, 'rx': 3.4675, 'uy': 1.1575}","{'lx': 3.3325, 'by': 1.0225, 'rx': 3.4675, 'uy': 1.1575}",True,False
tg1.CTR_P,tg1,CLK,up,directional_escape,"[3.2, 1.255]","{'lx': 3.1325, 'by': 1.1875, 'rx': 3.2675, 'uy': 1.3225}","{'lx': 3.1325, 'by': 1.1875, 'rx': 3.2675, 'uy': 1.3225}",True,False
tg1.CTR_P,tg1,CLK,left,directional_escape,"[3.0, 1.09]","{'lx': 2.9325, 'by': 1.0225, 'rx': 3.0675, 'uy': 1.1575}","{'lx': 2.9325, 'by': 1.0225, 'rx': 3.0675, 'uy': 1.1575}",True,False
tg2.CTR_N,tg2,CLK,right,directional_escape,"[7.1425, 0.545]","{'lx': 7.075, 'by': 0.4775, 'rx': 7.21, 'uy': 0.6125}","{'lx': 7.075, 'by': 0.4775, 'rx': 7.21, 'uy': 0.6125}",True,False
tg2.CTR_N,tg2,CLK,up,directional_escape,"[6.9425, 0.71]","{'lx': 6.875, 'by': 0.6425, 'rx': 7.01, 'uy': 0.7775}","{'lx': 6.875, 'by': 0.6425, 'rx': 7.01, 'uy': 0.7775}",True,False
tg2.CTR_N,tg2,CLK,left,directional_escape,"[6.7425, 0.545]","{'lx': 6.675, 'by': 0.4775, 'rx': 6.81, 'uy': 0.6125}","{'lx': 6.675, 'by': 0.4775, 'rx': 6.81, 'uy': 0.6125}",True,False
tg3.CTR_N,tg3,CLK,right,directional_escape,"[9.6375, 0.545]","{'lx': 9.57, 'by': 0.4775, 'rx': 9.705, 'uy': 0.6125}","{'lx': 9.57, 'by': 0.4775, 'rx': 9.705, 'uy': 0.6125}",True,False
tg3.CTR_N,tg3,CLK,up,directional_escape,"[9.4375, 0.71]","{'lx': 9.37, 'by': 0.6425, 'rx': 9.505, 'uy': 0.7775}","{'lx': 9.37, 'by': 0.6425, 'rx': 9.505, 'uy': 0.7775}",True,False
tg3.CTR_N,tg3,CLK,left,directional_escape,"[9.2375, 0.545]","{'lx': 9.17, 'by': 0.4775, 'rx': 9.305, 'uy': 0.6125}","{'lx': 9.17, 'by': 0.4775, 'rx': 9.305, 'uy': 0.6125}",True,False
tg4.CTR_P,tg4,CLK,right,directional_escape,"[13.38, 1.09]","{'lx': 13.3125, 'by': 1.0225, 'rx': 13.4475, 'uy': 1.1575}","{'lx': 13.3125, 'by': 1.0225, 'rx': 13.4475, 'uy': 1.1575}",True,False
tg4.CTR_P,tg4,CLK,up,directional_escape,"[13.18, 1.255]","{'lx': 13.1125, 'by': 1.1875, 'rx': 13.2475, 'uy': 1.3225}","{'lx': 13.1125, 'by': 1.1875, 'rx': 13.2475, 'uy': 1.3225}",True,False
tg4.CTR_P,tg4,CLK,left,directional_escape,"[12.98, 1.09]","{'lx': 12.9125, 'by': 1.0225, 'rx': 13.0475, 'uy': 1.1575}","{'lx': 12.9125, 'by': 1.0225, 'rx': 13.0475, 'uy': 1.1575}",True,False
inv1_clk.Z,inv1_clk,CLKB,right,directional_escape,"[0.5925, 0.88]","{'lx': 0.525, 'by': 0.8125, 'rx': 0.66, 'uy': 0.9475}","{'lx': 0.525, 'by': 0.8125, 'rx': 0.66, 'uy': 0.9475}",True,False
inv1_clk.Z,inv1_clk,CLKB,up,directional_escape,"[0.4275, 1.045]","{'lx': 0.36, 'by': 0.9775, 'rx': 0.495, 'uy': 1.1125}","{'lx': 0.36, 'by': 0.9775, 'rx': 0.495, 'uy': 1.1125}",True,False
inv1_clk.Z,inv1_clk,CLKB,left,directional_escape,"[0.2625, 0.88]","{'lx': 0.195, 'by': 0.8125, 'rx': 0.33, 'uy': 0.9475}","{'lx': 0.195, 'by': 0.8125, 'rx': 0.33, 'uy': 0.9475}",True,False
tg1.CTR_N,tg1,CLKB,right,directional_escape,"[3.4, 0.545]","{'lx': 3.3325, 'by': 0.4775, 'rx': 3.4675, 'uy': 0.6125}","{'lx': 3.3325, 'by': 0.4775, 'rx': 3.4675, 'uy': 0.6125}",True,False
tg1.CTR_N,tg1,CLKB,up,directional_escape,"[3.2, 0.71]","{'lx': 3.1325, 'by': 0.6425, 'rx': 3.2675, 'uy': 0.7775}","{'lx': 3.1325, 'by': 0.6425, 'rx': 3.2675, 'uy': 0.7775}",True,False
tg1.CTR_N,tg1,CLKB,left,directional_escape,"[3.0, 0.545]","{'lx': 2.9325, 'by': 0.4775, 'rx': 3.0675, 'uy': 0.6125}","{'lx': 2.9325, 'by': 0.4775, 'rx': 3.0675, 'uy': 0.6125}",True,False
tg2.CTR_P,tg2,CLKB,right,directional_escape,"[7.1425, 1.09]","{'lx': 7.075, 'by': 1.0225, 'rx': 7.21, 'uy': 1.1575}","{'lx': 7.075, 'by': 1.0225, 'rx': 7.21, 'uy': 1.1575}",True,False
tg2.CTR_P,tg2,CLKB,up,directional_escape,"[6.9425, 1.255]","{'lx': 6.875, 'by': 1.1875, 'rx': 7.01, 'uy': 1.3225}","{'lx': 6.875, 'by': 1.1875, 'rx': 7.01, 'uy': 1.3225}",True,False
tg2.CTR_P,tg2,CLKB,left,directional_escape,"[6.7425, 1.09]","{'lx': 6.675, 'by': 1.0225, 'rx': 6.81, 'uy': 1.1575}","{'lx': 6.675, 'by': 1.0225, 'rx': 6.81, 'uy': 1.1575}",True,False
tg3.CTR_P,tg3,CLKB,right,directional_escape,"[9.6375, 1.09]","{'lx': 9.57, 'by': 1.0225, 'rx': 9.705, 'uy': 1.1575}","{'lx': 9.57, 'by': 1.0225, 'rx': 9.705, 'uy': 1.1575}",True,False
tg3.CTR_P,tg3,CLKB,up,directional_escape,"[9.4375, 1.255]","{'lx': 9.37, 'by': 1.1875, 'rx': 9.505, 'uy': 1.3225}","{'lx': 9.37, 'by': 1.1875, 'rx': 9.505, 'uy': 1.3225}",True,False
tg3.CTR_P,tg3,CLKB,left,directional_escape,"[9.2375, 1.09]","{'lx': 9.17, 'by': 1.0225, 'rx': 9.305, 'uy': 1.1575}","{'lx': 9.17, 'by': 1.0225, 'rx': 9.305, 'uy': 1.1575}",True,False
tg4.CTR_N,tg4,CLKB,right,directional_escape,"[13.38, 0.545]","{'lx': 13.3125, 'by': 0.4775, 'rx': 13.4475, 'uy': 0.6125}","{'lx': 13.3125, 'by': 0.4775, 'rx': 13.4475, 'uy': 0.6125}",True,False
tg4.CTR_N,tg4,CLKB,up,directional_escape,"[13.18, 0.71]","{'lx': 13.1125, 'by': 0.6425, 'rx': 13.2475, 'uy': 0.7775}","{'lx': 13.1125, 'by': 0.6425, 'rx': 13.2475, 'uy': 0.7775}",True,False
tg4.CTR_N,tg4,CLKB,left,directional_escape,"[12.98, 0.545]","{'lx': 12.9125, 'by': 0.4775, 'rx': 13.0475, 'uy': 0.6125}","{'lx': 12.9125, 'by': 0.4775, 'rx': 13.0475, 'uy': 0.6125}",True,False
inv2_D.A,inv2_D,D,left,directional_escape,"[1.2425, 0.88]","{'lx': 1.175, 'by': 0.8125, 'rx': 1.31, 'uy': 0.9475}","{'lx': 1.175, 'by': 0.8125, 'rx': 1.31, 'uy': 0.9475}",True,False
inv2_D.A,inv2_D,D,up,directional_escape,"[1.4425, 1.045]","{'lx': 1.375, 'by': 0.9775, 'rx': 1.51, 'uy': 1.1125}","{'lx': 1.375, 'by': 0.9775, 'rx': 1.51, 'uy': 1.1125}",True,False
inv2_D.A,inv2_D,D,right,directional_escape,"[1.6425, 0.88]","{'lx': 1.575, 'by': 0.8125, 'rx': 1.71, 'uy': 0.9475}","{'lx': 1.575, 'by': 0.8125, 'rx': 1.71, 'uy': 0.9475}",True,False
inv2_D.Z,inv2_D,D_b,right,directional_escape,"[1.84, 0.88]","{'lx': 1.7725, 'by': 0.8125, 'rx': 1.9075, 'uy': 0.9475}","{'lx': 1.7725, 'by': 0.8125, 'rx': 1.9075, 'uy': 0.9475}",True,False
