M1,M2,M3,cluster,escape_level,net,route_bbox,terminal_bbox,vias
13.6775,5.6,0.0,clock,CLUSTER,CLK,"[-0.005, 0.6125, 13.6725, 2.085]","[-0.005, 0.545, 13.38, 1.09]",10
13.08,6.65,0.0,clock,CLUSTER,CLKB,"[0.5925, 0.6125, 13.6725, 2.295]","[0.5925, 0.545, 13.38, 1.09]",10
13.5225,1.49,0.0,io_or_power,CELL_WIDE,D,"[0.15, 0.9475, 13.6725, 2.505]","[1.2425, 0.88, 1.2425, 0.88]",2
11.8325,3.4,0.0,io_or_power,CELL_WIDE,D_b,"[1.84, 0.9475, 13.6725, 2.715]","[1.84, 0.88, 2.51, 0.88]",4
3.1,5.92,0.0,io_or_power,CELL_WIDE,Q,"[10.5725, 0.9475, 13.6725, 3.975]","[10.5725, 0.88, 11.2225, 0.88]",4
1.8525,6.34,0.0,feedback,CELL_WIDE,QB,"[11.82, 0.9475, 13.6725, 4.185]","[11.82, 0.88, 12.49, 0.88]",4
10.6175,5.73,0.0,feedback,CELL_WIDE,z1,"[3.055, 0.9475, 13.6725, 2.925]","[3.055, 0.88, 6.7975, 0.88]",6
9.3375,6.36,0.0,feedback,CELL_WIDE,z2,"[4.335, 0.9475, 13.6725, 3.135]","[4.335, 0.88, 7.48, 0.88]",6
8.09,4.66,0.0,feedback,CELL_WIDE,z3,"[5.5825, 0.9475, 13.6725, 3.345]","[5.5825, 0.88, 6.2525, 0.88]",4
5.595,5.08,0.0,feedback,CELL_WIDE,z4,"[8.0775, 0.9475, 13.6725, 3.555]","[8.0775, 0.88, 8.7475, 0.88]",4
4.38,8.25,0.0,feedback,CELL_WIDE,z5,"[9.2925, 0.9475, 13.6725, 3.765]","[9.2925, 0.88, 13.035, 0.88]",6
