actual_target_rule_violation,agreement,drc_log,expected_target_rule_violation,full_drc_pass,gds,lyrdb,marker_count,note,rule,variant
True,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_1_JUST_BELOW_LIMIT/ACTIVE_1_JUST_BELOW_LIMIT_drc.log,True,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/ACTIVE_1_JUST_BELOW_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_1_JUST_BELOW_LIMIT/ACTIVE_1_JUST_BELOW_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,ACTIVE.1,JUST_BELOW_LIMIT
False,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_1_AT_LIMIT/ACTIVE_1_AT_LIMIT_drc.log,False,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/ACTIVE_1_AT_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_1_AT_LIMIT/ACTIVE_1_AT_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,ACTIVE.1,AT_LIMIT
False,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_1_JUST_ABOVE_LIMIT/ACTIVE_1_JUST_ABOVE_LIMIT_drc.log,False,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/ACTIVE_1_JUST_ABOVE_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_1_JUST_ABOVE_LIMIT/ACTIVE_1_JUST_ABOVE_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,ACTIVE.1,JUST_ABOVE_LIMIT
True,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_2_JUST_BELOW_LIMIT/ACTIVE_2_JUST_BELOW_LIMIT_drc.log,True,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/ACTIVE_2_JUST_BELOW_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_2_JUST_BELOW_LIMIT/ACTIVE_2_JUST_BELOW_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,ACTIVE.2,JUST_BELOW_LIMIT
False,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_2_AT_LIMIT/ACTIVE_2_AT_LIMIT_drc.log,False,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/ACTIVE_2_AT_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_2_AT_LIMIT/ACTIVE_2_AT_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,ACTIVE.2,AT_LIMIT
False,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_2_JUST_ABOVE_LIMIT/ACTIVE_2_JUST_ABOVE_LIMIT_drc.log,False,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/ACTIVE_2_JUST_ABOVE_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/ACTIVE_2_JUST_ABOVE_LIMIT/ACTIVE_2_JUST_ABOVE_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,ACTIVE.2,JUST_ABOVE_LIMIT
True,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/POLY_1_JUST_BELOW_LIMIT/POLY_1_JUST_BELOW_LIMIT_drc.log,True,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/POLY_1_JUST_BELOW_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/POLY_1_JUST_BELOW_LIMIT/POLY_1_JUST_BELOW_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,POLY.1,JUST_BELOW_LIMIT
False,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/POLY_1_AT_LIMIT/POLY_1_AT_LIMIT_drc.log,False,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/POLY_1_AT_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/POLY_1_AT_LIMIT/POLY_1_AT_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,POLY.1,AT_LIMIT
False,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/POLY_1_JUST_ABOVE_LIMIT/POLY_1_JUST_ABOVE_LIMIT_drc.log,False,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/POLY_1_JUST_ABOVE_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/POLY_1_JUST_ABOVE_LIMIT/POLY_1_JUST_ABOVE_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,POLY.1,JUST_ABOVE_LIMIT
True,True,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/METAL1_1_JUST_BELOW_LIMIT/METAL1_1_JUST_BELOW_LIMIT_drc.log,True,False,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/micro_layouts/METAL1_1_JUST_BELOW_LIMIT.gds,/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726/outputs/PROJECT_cellsynth_v2_formal_foundation_lvs_closure/02_TECHNOLOGY_DB/drc/METAL1_1_JUST_BELOW_LIMIT/METAL1_1_JUST_BELOW_LIMIT.lyrdb,,Agreement is target-rule boundary agreement; unrelated markers are retained for fixture-improvement evidence.,METAL1.1,JUST_BELOW_LIMIT
