wl,driver_output_center_y,array_wl_center_y,driver_array_abs_delta_y,driver_array_abs_delta_y_over_row_pitch,driver_to_array_crossing_count,m1_length_um,m2_length_um,m3_length_um,metal_length_total_um,via1_count,via2_count,via_count,bend_count,normalized_route_r_proxy,normalized_route_c_proxy,normalized_rc_proxy,rc_model_kind,driver_load_model,array_row_load_model,rc_evidence_level,not_post_layout_pex,estimated_R_ohm,estimated_C_fF,estimated_RC_s
WL0,0.7825,0.7825,0.0,0.0,0,0.135,0.675,7.32,8.13,1,2,3,1,129.091209,1.13685,146.757341,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL1,2.3475,2.3475,0.0,0.0,0,0.135,0.675,3.96,4.77,1,2,3,1,81.091209,0.66645,54.043236,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL2,3.9125,3.9125,0.0,0.0,0,0.135,0.675,7.32,8.13,1,2,3,1,129.091209,1.13685,146.757341,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL3,5.4775,5.4775,0.0,0.0,0,0.135,0.675,3.96,4.77,1,2,3,1,81.091209,0.66645,54.043236,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL4,7.0425,7.0425,0.0,0.0,0,0.135,0.675,7.32,8.13,1,2,3,1,129.091209,1.13685,146.757341,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL5,8.6075,8.6075,0.0,0.0,0,0.135,0.675,3.96,4.77,1,2,3,1,81.091209,0.66645,54.043236,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL6,10.1725,10.1725,0.0,0.0,0,0.135,0.675,7.32,8.13,1,2,3,1,129.091209,1.13685,146.757341,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL7,11.7375,11.7375,0.0,0.0,0,0.135,0.675,3.96,4.77,1,2,3,1,81.091209,0.66645,54.043236,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL8,13.3025,13.3025,0.0,0.0,0,0.135,0.675,7.32,8.13,1,2,3,1,129.091209,1.13685,146.757341,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
WL9,14.8675,14.8675,0.0,0.0,0,0.135,0.675,3.96,4.77,1,2,3,1,81.091209,0.66645,54.043236,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy,NORMALIZED_GEOMETRY_RC_PROXY,True,AUTHORITY_PENDING,AUTHORITY_PENDING,AUTHORITY_PENDING
