instance_name,module,x0,y0,x1,y1,orientation
upper_enable_stage,decoder_gate_cells_v3,18.0,4.2,41.0975,10.1425,R0
lower_wordline_stage_0,decoder_gate_cells_v3,38.0,8.4,61.0975,14.3425,R0
lower_wordline_stage_1,decoder_gate_cells_v3,38.0,0.0,61.0975,5.9425,R0
decoder_top,decoder_top_v3,16.3325,-2.0675,62.365,27.0675,R0
approved_array_physical_shell_0,approved_array_physical_shell,74.885,0.0,78.465,25.04,R0
wl_driver_0,wordline_driver_v2,66.365,-0.115,68.525,1.7725,R0
wl_driver_1,wordline_driver_v2,69.725,1.45,71.885,3.3375,R0
wl_driver_2,wordline_driver_v2,66.365,3.015,68.525,4.9025,R0
wl_driver_3,wordline_driver_v2,69.725,4.58,71.885,6.4675,R0
wl_driver_4,wordline_driver_v2,66.365,6.145,68.525,8.0325,R0
wl_driver_5,wordline_driver_v2,69.725,7.71,71.885,9.5975,R0
wl_driver_6,wordline_driver_v2,66.365,9.275,68.525,11.1625,R0
wl_driver_7,wordline_driver_v2,69.725,10.84,71.885,12.7275,R0
wl_driver_8,wordline_driver_v2,66.365,12.405,68.525,14.2925,R0
wl_driver_9,wordline_driver_v2,69.725,13.97,71.885,15.8575,R0
wl_driver_10,wordline_driver_v2,66.365,15.535,68.525,17.4225,R0
wl_driver_11,wordline_driver_v2,69.725,17.1,71.885,18.9875,R0
wl_driver_12,wordline_driver_v2,66.365,18.665,68.525,20.5525,R0
wl_driver_13,wordline_driver_v2,69.725,20.23,71.885,22.1175,R0
wl_driver_14,wordline_driver_v2,66.365,21.795,68.525,23.6825,R0
wl_driver_15,wordline_driver_v2,69.725,23.36,71.885,25.2475,R0
