wl,decoder_to_driver_length_um,driver_to_array_length_um,complete_path_metal_length_um,complete_path_via_count,complete_path_bend_count,input_normalized_r_proxy,input_normalized_c_proxy,output_normalized_r_proxy,output_normalized_c_proxy,complete_path_normalized_rc_proxy,rc_evidence_level,not_post_layout_pex
WL0,27.6025,22.4075,50.01,7,7,409.385165,3.84375,339.201099,3.116175,2630.584211,NORMALIZED_GEOMETRY_RC_PROXY,True
WL1,35.7325,18.2475,53.98,7,7,525.530769,4.981925,279.772527,2.533775,3327.035513,NORMALIZED_GEOMETRY_RC_PROXY,True
WL2,20.905,22.4075,43.3125,7,7,313.703846,2.906125,339.201099,3.116175,1968.672574,NORMALIZED_GEOMETRY_RC_PROXY,True
WL3,29.0375,18.2475,47.285,7,7,429.887912,4.044625,279.772527,2.533775,2447.616032,NORMALIZED_GEOMETRY_RC_PROXY,True
WL4,14.21,22.4075,36.6175,7,7,218.060989,1.968825,339.201099,3.116175,1486.333911,NORMALIZED_GEOMETRY_RC_PROXY,True
WL5,22.3425,18.2475,40.59,7,7,334.242308,3.10735,279.772527,2.533775,1747.488471,NORMALIZED_GEOMETRY_RC_PROXY,True
WL6,10.635,22.4075,33.0425,7,7,166.98956,1.468325,339.201099,3.116175,1302.20493,NORMALIZED_GEOMETRY_RC_PROXY,True
WL7,15.6475,18.2475,33.895,7,7,238.602198,2.170025,279.772527,2.533775,1226.65337,NORMALIZED_GEOMETRY_RC_PROXY,True
WL8,34.465,22.4075,56.8725,7,7,507.423626,4.804475,339.201099,3.116175,3494.914111,NORMALIZED_GEOMETRY_RC_PROXY,True
WL9,39.9475,18.2475,58.195,7,9,585.73956,5.572075,279.772527,2.533775,3972.665397,NORMALIZED_GEOMETRY_RC_PROXY,True
WL10,33.23,22.4075,55.6375,7,7,489.780769,4.631575,339.201099,3.116175,3325.46635,NORMALIZED_GEOMETRY_RC_PROXY,True
WL11,38.7125,18.2475,56.96,7,9,568.096703,5.399175,279.772527,2.533775,3776.134154,NORMALIZED_GEOMETRY_RC_PROXY,True
WL12,31.995,22.4075,54.4025,7,8,472.137912,4.458675,339.201099,3.116175,3162.119489,NORMALIZED_GEOMETRY_RC_PROXY,True
WL13,37.4775,18.2475,55.725,7,10,550.453846,5.226275,279.772527,2.533775,3585.703811,NORMALIZED_GEOMETRY_RC_PROXY,True
WL14,30.76,22.4075,53.1675,7,8,454.495055,4.285775,339.201099,3.116175,3004.873528,NORMALIZED_GEOMETRY_RC_PROXY,True
WL15,36.2425,18.2475,54.49,7,10,532.810989,5.053375,279.772527,2.533775,3401.374368,NORMALIZED_GEOMETRY_RC_PROXY,True
