wl,model,t50_rise_s,t50_fall_s,slew_rise_s,slew_fall_s,final_high_v,final_low_v,ngspice_returncode,passed
WL0,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.107998e-11,4.518532e-11,3.247617e-11,4.6045580000000006e-11,1.099997,1.099997,0,True
WL1,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.094619e-11,4.50484e-11,3.204954e-11,4.549545e-11,1.099997,1.099997,0,True
WL2,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.103927e-11,4.514285e-11,3.247753999999999e-11,4.604483e-11,1.099997,1.099997,0,True
WL3,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.089664e-11,4.499755e-11,3.20466e-11,4.5492079999999995e-11,1.099997,1.099997,0,True
WL4,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.100489e-11,4.510723e-11,3.2477150000000003e-11,4.604319999999999e-11,1.099997,1.099997,0,True
WL5,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.085425e-11,4.495393e-11,3.204526e-11,4.5489079999999995e-11,1.099997,1.099997,0,True
WL6,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.098925e-11,4.509101e-11,3.2476879999999996e-11,4.6042590000000006e-11,1.099997,1.099997,0,True
WL7,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.081844e-11,4.491731e-11,3.204309999999999e-11,4.5485670000000004e-11,1.099997,1.099997,0,True
WL8,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.112918e-11,4.52362e-11,3.247597e-11,4.6046720000000005e-11,1.099997,1.099997,0,True
WL9,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.098006e-11,4.508399e-11,3.205124e-11,4.549759e-11,1.099997,1.099997,0,True
WL10,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.111984e-11,4.522655e-11,3.247604e-11,4.6046550000000004e-11,1.099997,1.099997,0,True
WL11,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.096968e-11,4.507328e-11,3.2050739999999996e-11,4.5496969999999994e-11,1.099997,1.099997,0,True
WL12,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.111074e-11,4.521714e-11,3.24761e-11,4.604638e-11,1.099997,1.099997,0,True
WL13,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.095953e-11,4.50628e-11,3.2050220000000006e-11,4.549634e-11,1.099997,1.099997,0,True
WL14,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.110186e-11,4.520796e-11,3.247614000000001e-11,4.6046180000000004e-11,1.099997,1.099997,0,True
WL15,DECODER_INTERCONNECT_RC_PLUS_SOURCE_BOUND_DRIVER_PLUS_ARRAY_INTERCONNECT_RC_PROXY,4.095022e-11,4.505256e-11,3.204976e-11,4.5495719999999996e-11,1.099997,1.099997,0,True
