wl,driver_output_center_y,array_wl_center_y,driver_array_abs_delta_y,driver_array_abs_delta_y_over_row_pitch,driver_to_array_crossing_count,m1_length_um,m2_length_um,m3_length_um,m4_length_um,m5_length_um,metal_length_total_um,via1_count,via2_count,via3_count,via4_count,via_count,bend_count,normalized_route_r_proxy,normalized_route_c_proxy,normalized_rc_proxy,rc_model_kind,driver_load_model,array_row_load_model
WL0,3.14,3.14,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,3,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL1,5.55,5.55,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,3,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL2,5.87,5.87,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,3,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL3,8.28,8.28,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,3,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL4,8.6,8.6,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,3,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL5,11.01,11.01,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,3,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL6,11.33,11.33,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,3,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL7,13.74,13.74,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,3,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL8,14.06,14.06,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,3,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL9,16.47,16.47,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,3,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL10,16.79,16.79,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,3,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL11,19.2,19.2,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,3,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL12,19.52,19.52,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,4,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL13,21.93,21.93,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,4,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL14,22.25,22.25,0.0,0.0,0,2.0875,0.34,19.98,0.0,0.0,22.4075,2,2,0,0,4,4,339.201099,3.116175,1057.009984,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
WL15,24.66,24.66,0.0,0.0,0,2.0875,0.34,15.82,0.0,0.0,18.2475,2,2,0,0,4,4,279.772527,2.533775,708.880636,NORMALIZED_GEOMETRY_RC_PROXY,source_bound_WORDLINE_DRIVER_V2,equal_20fF_proxy
