wl,decoder_child_pin,wl_driver_instance,array_child_pin,decoder_center_x,decoder_center_y,driver_input_center_x,driver_input_center_y,driver_output_center_x,driver_output_center_y,array_center_x,array_center_y,driver_row_alignment_delta_y,driver_row_alignment_delta_over_pitch,route_length,driver_input_route_length,via_count,bend_count,driver_output_to_array_crossing,swap,missing,duplicate
WL0,decoder_top.WL0,wl_driver_0,array_stack.WL0,48.81625,9.3325,67.6525,2.7025,69.155,3.14,90.7525,3.14,0.0,0.0,24.1325,30.5225,4,0,False,False,False,False
WL1,decoder_top.WL1,wl_driver_1,array_stack.WL1,46.42375,13.32,71.8125,5.1125,73.315,5.55,90.7525,5.55,0.0,0.0,19.9725,38.6525,4,0,False,False,False,False
WL2,decoder_top.WL2,wl_driver_2,array_stack.WL2,52.78125,9.3325,67.6525,5.4325,69.155,5.87,90.7525,5.87,0.0,0.0,24.1325,23.825,4,0,False,False,False,False
WL3,decoder_top.WL3,wl_driver_3,array_stack.WL3,50.38875,13.32,71.8125,7.8425,73.315,8.28,90.7525,8.28,0.0,0.0,19.9725,31.9575,4,0,False,False,False,False
WL4,decoder_top.WL4,wl_driver_4,array_stack.WL4,56.74625,9.3325,67.6525,8.1625,69.155,8.6,90.7525,8.6,0.0,0.0,24.1325,17.13,4,0,False,False,False,False
WL5,decoder_top.WL5,wl_driver_5,array_stack.WL5,54.35375,13.32,71.8125,10.5725,73.315,11.01,90.7525,11.01,0.0,0.0,19.9725,25.2625,4,0,False,False,False,False
WL6,decoder_top.WL6,wl_driver_6,array_stack.WL6,60.71125,9.3325,67.6525,10.8925,69.155,11.33,90.7525,11.33,0.0,0.0,24.1325,13.555,4,0,False,False,False,False
WL7,decoder_top.WL7,wl_driver_7,array_stack.WL7,58.31875,13.32,71.8125,13.3025,73.315,13.74,90.7525,13.74,0.0,0.0,19.9725,18.5675,4,0,False,False,False,False
WL8,decoder_top.WL8,wl_driver_8,array_stack.WL8,48.81625,0.9325,67.6525,13.6225,69.155,14.06,90.7525,14.06,0.0,0.0,24.1325,37.385,4,0,False,False,False,False
WL9,decoder_top.WL9,wl_driver_9,array_stack.WL9,46.42375,4.92,71.8125,16.0325,73.315,16.47,90.7525,16.47,0.0,0.0,19.9725,43.1375,4,0,False,False,False,False
WL10,decoder_top.WL10,wl_driver_10,array_stack.WL10,52.78125,0.9325,67.6525,16.3525,69.155,16.79,90.7525,16.79,0.0,0.0,24.1325,36.15,4,0,False,False,False,False
WL11,decoder_top.WL11,wl_driver_11,array_stack.WL11,50.38875,4.92,71.8125,18.7625,73.315,19.2,90.7525,19.2,0.0,0.0,19.9725,41.9025,4,0,False,False,False,False
WL12,decoder_top.WL12,wl_driver_12,array_stack.WL12,56.74625,0.9325,67.6525,19.0825,69.155,19.52,90.7525,19.52,0.0,0.0,24.1325,34.915,4,0,False,False,False,False
WL13,decoder_top.WL13,wl_driver_13,array_stack.WL13,54.35375,4.92,71.8125,21.4925,73.315,21.93,90.7525,21.93,0.0,0.0,19.9725,40.6675,4,0,False,False,False,False
WL14,decoder_top.WL14,wl_driver_14,array_stack.WL14,60.71125,0.9325,67.6525,21.8125,69.155,22.25,90.7525,22.25,0.0,0.0,24.1325,33.68,4,0,False,False,False,False
WL15,decoder_top.WL15,wl_driver_15,array_stack.WL15,58.31875,4.92,71.8125,24.2225,73.315,24.66,90.7525,24.66,0.0,0.0,19.9725,39.4325,4,0,False,False,False,False
