instance,cell,orientation,endpoint_net,endpoint_layer,endpoint_bbox,top_component_id,witness_path_shape_count,witness_path_via_count,passed,endpoint_component_id,witness_path_shape_ids
upper_enable_stage/inv_a0,PINV,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 47.5875, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/inv_a0,PINV,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 46.9, ""rx"": 47.5875, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/inv_a1,PINV,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 47.6975, ""rx"": 48.385, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/inv_a1,PINV,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 47.6975, ""rx"": 48.385, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/inv_a2,PINV,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 48.495, ""rx"": 49.1825, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/inv_a2,PINV,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 48.495, ""rx"": 49.1825, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and3_pre_0,AND3,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 49.2925, ""rx"": 51.3375, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and3_pre_0,AND3,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 49.2925, ""rx"": 51.3375, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
upper_enable_stage/and2_en_0,AND2,R0,VDD,m1,"{""by"": 6.055, ""layer"": ""m1"", ""lx"": 51.4475, ""rx"": 53.1475, ""uy"": 6.12}",via5_513,23,8,True,via5_513,"[""m1_1582"", ""m1_1523"", ""via1_8"", ""m2_10"", ""via2_14"", ""m3_15"", ""via3_16"", ""m4_17"", ""via4_18"", ""m5_19"", ""via5_20"", ""m6_34"", ""via5_31"", ""m5_30"", ""via4_29"", ""m4_28"", ""via3_27"", ""m3_26"", ""via2_25"", ""m2_24"", ""via1_23"", ""m1_33"", ""m1_4""]"
upper_enable_stage/and2_en_0,AND2,R0,VSS,m1,"{""by"": 4.235, ""layer"": ""m1"", ""lx"": 51.4475, ""rx"": 53.1475, ""uy"": 4.3}",via5_1035,23,8,True,via5_1035,"[""m1_1593"", ""m1_1553"", ""via1_1555"", ""m2_1556"", ""via2_1559"", ""m3_1560"", ""via3_538"", ""m4_539"", ""via4_540"", ""m5_541"", ""via5_542"", ""m6_556"", ""via5_553"", ""m5_552"", ""via4_551"", ""m4_550"", ""via3_549"", ""m3_548"", ""via2_547"", ""m2_546"", ""via1_545"", ""m1_555"", ""m1_5""]"
