case_id,expected_rejection_code,observed_rejection_code,unexpected_pass,passed
replace_real_array_with_shell,REAL_ARRAY_INSTANCE_REQUIRED,REAL_ARRAY_INSTANCE_REQUIRED,False,True
array_GDS_SHA_mismatch,ARRAY_GDS_SHA_MISMATCH,ARRAY_GDS_SHA_MISMATCH,False,True
move_array_without_rerouting,STALE_ROUTE_AFTER_ARRAY_MOVE,STALE_ROUTE_AFTER_ARRAY_MOVE,False,True
break_array_VDD_stitch,ARRAY_VDD_STITCH_MISSING,ARRAY_VDD_STITCH_MISSING,False,True
break_array_VSS_stitch,ARRAY_VSS_STITCH_MISSING,ARRAY_VSS_STITCH_MISSING,False,True
misalign_WL_driver_by_one_row,DRIVER_ROW_ALIGNMENT_FAILED,DRIVER_ROW_ALIGNMENT_FAILED,False,True
swap_WL7_WL8,WL_BIT_ORDER_SWAP_DETECTED,WL_BIT_ORDER_SWAP_DETECTED,False,True
short_WL_to_BL,WL_TO_BL_FOREIGN_NET_SHORT,WL_TO_BL_FOREIGN_NET_SHORT,False,True
short_WL_to_BR,WL_TO_BR_FOREIGN_NET_SHORT,WL_TO_BR_FOREIGN_NET_SHORT,False,True
drop_one_BL_interface_pin,BL_INTERFACE_PIN_MISSING,BL_INTERFACE_PIN_MISSING,False,True
drop_one_BR_interface_pin,BR_INTERFACE_PIN_MISSING,BR_INTERFACE_PIN_MISSING,False,True
modify_bitcell_pitch_in_parent_manifest,ARRAY_CHILD_IMMUTABILITY_FAILED,ARRAY_CHILD_IMMUTABILITY_FAILED,False,True
reuse_shell_route_on_real_array,SHELL_ROUTE_REUSE_FORBIDDEN,SHELL_ROUTE_REUSE_FORBIDDEN,False,True
