instance_name,module,x0,y0,x1,y1,orientation
upper_enable_stage,decoder_gate_cells_v3,42.0,4.2,65.0975,10.1425,R0
lower_wordline_stage_0,decoder_gate_cells_v3,18.0,8.4,41.0975,14.3425,R0
lower_wordline_stage_1,decoder_gate_cells_v3,18.0,0.0,41.0975,5.9425,R0
decoder_top,decoder_top_v3,16.3325,-2.0675,66.365,27.0675,R0
bitcell_array_quad_0,bitcell_array,90.0,0.0,105.265,26.285,R0
wl_driver_0,wordline_driver_v2,66.865,2.2425,69.025,4.13,R0
wl_driver_1,wordline_driver_v2,71.025,4.6525,73.185,6.54,R0
wl_driver_2,wordline_driver_v2,66.865,4.9725,69.025,6.86,R0
wl_driver_3,wordline_driver_v2,71.025,7.3825,73.185,9.27,R0
wl_driver_4,wordline_driver_v2,66.865,7.7025,69.025,9.59,R0
wl_driver_5,wordline_driver_v2,71.025,10.1125,73.185,12.0,R0
wl_driver_6,wordline_driver_v2,66.865,10.4325,69.025,12.32,R0
wl_driver_7,wordline_driver_v2,71.025,12.8425,73.185,14.73,R0
wl_driver_8,wordline_driver_v2,66.865,13.1625,69.025,15.05,R0
wl_driver_9,wordline_driver_v2,71.025,15.5725,73.185,17.46,R0
wl_driver_10,wordline_driver_v2,66.865,15.8925,69.025,17.78,R0
wl_driver_11,wordline_driver_v2,71.025,18.3025,73.185,20.19,R0
wl_driver_12,wordline_driver_v2,66.865,18.6225,69.025,20.51,R0
wl_driver_13,wordline_driver_v2,71.025,21.0325,73.185,22.92,R0
wl_driver_14,wordline_driver_v2,66.865,21.3525,69.025,23.24,R0
wl_driver_15,wordline_driver_v2,71.025,23.7625,73.185,25.65,R0
