wl,simulation_model,ngspice_returncode,t50_rise_s,t50_fall_s,slew_rise_s,slew_fall_s,final_high_v,final_low_v,passed
WL0,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL1,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL2,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL3,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL4,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL5,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL6,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL7,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL8,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL9,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL10,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL11,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL12,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL13,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
WL14,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.036135e-11,4.445987e-11,3.117757e-11,4.442649e-11,1.099997,1.099997,True
WL15,SOURCE_BOUND_DRIVER_PLUS_NORMALIZED_GEOMETRY_RC_PROXY,0,4.016872e-11,4.426405e-11,3.0794329999999996e-11,4.3895150000000003e-11,1.099997,1.099997,True
