instance_name,module,x0,y0,x1,y1,orientation
upper_enable_stage,decoder_gate_cells_v3,42.0,4.2,65.0975,10.1425,R0
lower_wordline_stage_0,decoder_gate_cells_v3,18.0,8.4,41.0975,14.3425,R0
lower_wordline_stage_1,decoder_gate_cells_v3,18.0,0.0,41.0975,5.9425,R0
decoder_top,decoder_top_v3,16.3325,-2.0675,66.365,27.0675,R0
approved_array_physical_shell_0,approved_array_physical_shell,77.185,0.0,80.765,25.04,R0
wl_driver_0,wordline_driver_v2,66.865,-0.115,69.025,1.7725,R0
wl_driver_1,wordline_driver_v2,71.025,1.45,73.185,3.3375,R0
wl_driver_2,wordline_driver_v2,66.865,3.015,69.025,4.9025,R0
wl_driver_3,wordline_driver_v2,71.025,4.58,73.185,6.4675,R0
wl_driver_4,wordline_driver_v2,66.865,6.145,69.025,8.0325,R0
wl_driver_5,wordline_driver_v2,71.025,7.71,73.185,9.5975,R0
wl_driver_6,wordline_driver_v2,66.865,9.275,69.025,11.1625,R0
wl_driver_7,wordline_driver_v2,71.025,10.84,73.185,12.7275,R0
wl_driver_8,wordline_driver_v2,66.865,12.405,69.025,14.2925,R0
wl_driver_9,wordline_driver_v2,71.025,13.97,73.185,15.8575,R0
wl_driver_10,wordline_driver_v2,66.865,15.535,69.025,17.4225,R0
wl_driver_11,wordline_driver_v2,71.025,17.1,73.185,18.9875,R0
wl_driver_12,wordline_driver_v2,66.865,18.665,69.025,20.5525,R0
wl_driver_13,wordline_driver_v2,71.025,20.23,73.185,22.1175,R0
wl_driver_14,wordline_driver_v2,66.865,21.795,69.025,23.6825,R0
wl_driver_15,wordline_driver_v2,71.025,23.36,73.185,25.2475,R0
