instance,vdd_endpoint_to_top_vdd,vss_endpoint_to_top_vss,passed
authoritative_array,True,True,True
wl_driver_0,True,True,True
wl_driver_1,True,True,True
wl_driver_2,True,True,True
wl_driver_3,True,True,True
wl_driver_4,True,True,True
wl_driver_5,True,True,True
wl_driver_6,True,True,True
wl_driver_7,True,True,True
wl_driver_8,True,True,True
wl_driver_9,True,True,True
wl_driver_10,True,True,True
wl_driver_11,True,True,True
wl_driver_12,True,True,True
wl_driver_13,True,True,True
wl_driver_14,True,True,True
wl_driver_15,True,True,True
decoder,True,True,True
precharge_bank,True,True,True
sense_amp_bank,True,True,True
write_driver_bank,True,True,True
control_dff_0,True,True,True
control_dff_1,True,True,True
control_dff_2,True,True,True
control_dff_3,True,True,True
control_dff_4,True,True,True
control_dff_5,True,True,True
control_dff_6,True,True,True
control_dff_7,True,True,True
control_dff_8,True,True,True
control_dff_9,True,True,True
control_dff_10,True,True,True
control_dff_11,True,True,True
control_dff_12,True,True,True
control_dff_13,True,True,True
control_dff_14,True,True,True
control_dff_15,True,True,True
control_dff_16,True,True,True
control_dff_17,True,True,True
control_dff_18,True,True,True
control_dff_19,True,True,True
control_logic_0,True,True,True
control_logic_1,True,True,True
control_dff_20,True,True,True
control_dff_21,True,True,True
control_logic_2,True,True,True
control_logic_3,True,True,True
control_logic_4,True,True,True
control_logic_5,True,True,True
control_logic_6,True,True,True
control_logic_7,True,True,True
control_logic_8,True,True,True
control_logic_9,True,True,True
control_logic_10,True,True,True
control_logic_11,True,True,True
