logical_net,route_group,physical_component,status,route_length
BL[0]__precharge,BLBR,BL[0]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[0]__sense,BLBR,BL[0]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[0]__write,BLBR,BL[0]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[0]__precharge,BLBR,BR[0]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[0]__sense,BLBR,BR[0]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[0]__write,BLBR,BR[0]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[1]__precharge,BLBR,BL[1]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[1]__sense,BLBR,BL[1]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[1]__write,BLBR,BL[1]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[1]__precharge,BLBR,BR[1]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[1]__sense,BLBR,BR[1]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[1]__write,BLBR,BR[1]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[2]__precharge,BLBR,BL[2]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[2]__sense,BLBR,BL[2]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[2]__write,BLBR,BL[2]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[2]__precharge,BLBR,BR[2]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[2]__sense,BLBR,BR[2]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[2]__write,BLBR,BR[2]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[3]__precharge,BLBR,BL[3]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[3]__sense,BLBR,BL[3]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[3]__write,BLBR,BL[3]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[3]__precharge,BLBR,BR[3]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[3]__sense,BLBR,BR[3]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[3]__write,BLBR,BR[3]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[4]__precharge,BLBR,BL[4]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[4]__sense,BLBR,BL[4]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[4]__write,BLBR,BL[4]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[4]__precharge,BLBR,BR[4]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[4]__sense,BLBR,BR[4]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[4]__write,BLBR,BR[4]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[5]__precharge,BLBR,BL[5]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[5]__sense,BLBR,BL[5]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[5]__write,BLBR,BL[5]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[5]__precharge,BLBR,BR[5]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[5]__sense,BLBR,BR[5]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[5]__write,BLBR,BR[5]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[6]__precharge,BLBR,BL[6]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[6]__sense,BLBR,BL[6]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[6]__write,BLBR,BL[6]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[6]__precharge,BLBR,BR[6]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[6]__sense,BLBR,BR[6]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[6]__write,BLBR,BR[6]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[7]__precharge,BLBR,BL[7]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[7]__sense,BLBR,BL[7]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[7]__write,BLBR,BL[7]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[7]__precharge,BLBR,BR[7]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[7]__sense,BLBR,BR[7]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[7]__write,BLBR,BR[7]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[8]__precharge,BLBR,BL[8]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[8]__sense,BLBR,BL[8]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[8]__write,BLBR,BL[8]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[8]__precharge,BLBR,BR[8]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
BR[8]__sense,BLBR,BR[8]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.535
BR[8]__write,BLBR,BR[8]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.47
BL[9]__precharge,BLBR,BL[9]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.8425
BL[9]__sense,BLBR,BL[9]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.7575
BL[9]__write,BLBR,BL[9]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.6925
BR[9]__precharge,BLBR,BR[9]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.74
BR[9]__sense,BLBR,BR[9]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.75
BR[9]__write,BLBR,BR[9]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,55.685
BL[10]__precharge,BLBR,BL[10]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.6275
BL[10]__sense,BLBR,BL[10]__sense,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.5425
BL[10]__write,BLBR,BL[10]__write,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.4775
BR[10]__precharge,BLBR,BR[10]__precharge,CONNECTED_BY_TOP_ROUTE_GEOMETRY,58.525
