instance,role,cell,x,y,width,height
authoritative_array,array,array__sram_capped_replica_bitcell_array,70.0,45.0,15.265,26.285
wl_driver_0,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,46.1,2.16,1.8875
wl_driver_1,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,47.665,2.16,1.8875
wl_driver_2,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,49.23,2.16,1.8875
wl_driver_3,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,50.795,2.16,1.8875
wl_driver_4,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,52.36,2.16,1.8875
wl_driver_5,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,53.925,2.16,1.8875
wl_driver_6,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,55.49,2.16,1.8875
wl_driver_7,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,57.055,2.16,1.8875
wl_driver_8,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,58.62,2.16,1.8875
wl_driver_9,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,60.185,2.16,1.8875
wl_driver_10,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,61.75,2.16,1.8875
wl_driver_11,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,63.315,2.16,1.8875
wl_driver_12,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,64.88,2.16,1.8875
wl_driver_13,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,66.445,2.16,1.8875
wl_driver_14,wl_driver,wl_driver__wl_driver__wordline_driver_v2,63.0,68.01,2.16,1.8875
wl_driver_15,wl_driver,wl_driver__wl_driver__wordline_driver_v2,65.9,69.575,2.16,1.8875
decoder,decoder,row_decoder__decoder__candidate_p2_partitioned_control_centered,15.0,44.0,46.0325,29.135
precharge_bank,precharge,precharge_bank__precharge_even_odd_2row_v2,70.0,79.285,11.2875,4.78
sense_amp_bank,sense_amp,sense_bank__sense_amp_even_odd_2row_v2,70.0,22.98,11.35,14.02
write_driver_bank,write_driver,write_bank__write_driver_even_odd_2row_v2,70.0,4.63,11.415,10.35
control_dff_0,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,-12.0,-13.0,18.315,5.51
control_dff_1,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,12.0,-13.0,18.315,5.51
control_dff_2,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,36.0,-13.0,18.315,5.51
control_dff_3,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,60.0,-13.0,18.315,5.51
control_dff_4,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,-12.0,-21.5,18.315,5.51
control_dff_5,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,12.0,-21.5,18.315,5.51
control_dff_6,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,36.0,-21.5,18.315,5.51
control_dff_7,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,60.0,-21.5,18.315,5.51
control_dff_8,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,-12.0,-30.0,18.315,5.51
control_dff_9,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,12.0,-30.0,18.315,5.51
control_dff_10,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,36.0,-30.0,18.315,5.51
control_dff_11,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,60.0,-30.0,18.315,5.51
control_dff_12,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,-12.0,-38.5,18.315,5.51
control_dff_13,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,12.0,-38.5,18.315,5.51
control_dff_14,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,36.0,-38.5,18.315,5.51
control_dff_15,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,60.0,-38.5,18.315,5.51
control_dff_16,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,-12.0,-47.0,18.315,5.51
control_dff_17,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,12.0,-47.0,18.315,5.51
control_dff_18,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,36.0,-47.0,18.315,5.51
control_dff_19,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,60.0,-47.0,18.315,5.51
control_logic_0,control_sink_cluster,control_child_1__PDRIVE_FPDK45,-22.0,103.0,7.865,1.8875
control_logic_1,control_sink_cluster,control_child_2__PINV_NW90_PW270_L50,28.0,103.0,0.7975,1.8875
control_dff_20,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,-12.0,-55.5,18.315,5.51
control_dff_21,control_dff_cluster,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1,12.0,-55.5,18.315,5.51
control_logic_2,control_sink_cluster,control_child_3__AND2_PNAND2_PINV_FPDK45,78.0,103.0,2.16,1.8875
control_logic_3,control_sink_cluster,control_child_3__AND2_PNAND2_PINV_FPDK45,128.0,103.0,2.16,1.8875
control_logic_4,control_sink_cluster,control_child_4__WL_PDRIVE_FPDK45,178.0,103.0,2.145,1.8875
control_logic_5,control_sink_cluster,control_child_2__PINV_NW90_PW270_L50,228.0,103.0,0.7975,1.8875
control_logic_6,control_sink_cluster,control_child_5__DELAY_CHAIN_FPDK45,-22.0,110.0,44.6,2.115
control_logic_7,control_sink_cluster,control_child_2__PINV_NW90_PW270_L50,28.0,110.0,0.7975,1.8875
control_logic_8,control_sink_cluster,control_child_6__AND3_PNAND3_PINV_FPDK45,78.0,110.0,2.505,1.8875
