instance,D_net,Q_fanout,QB_fanout,classification,selected_strategy
control_dff_0,control_dff_0,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_1,control_dff_1,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_2,control_dff_2,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_3,control_dff_3,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_4,control_dff_4,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_5,control_dff_5,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_6,control_dff_6,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_7,control_dff_7,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_8,control_dff_8,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_9,control_dff_9,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_10,control_dff_10,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_11,control_dff_11,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_12,control_dff_12,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_13,control_dff_13,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_14,control_dff_14,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_15,control_dff_15,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_16,control_dff_16,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_17,control_dff_17,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_18,control_dff_18,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_19,control_dff_19,0,0,CORE_DFF_SUFFICIENT,DFF_CORE_HPA_V1
control_dff_20,control_dff_20,0,2,BUFFER_REQUIRED,DFF_BUF_RETAINED
control_dff_21,control_dff_21,1,1,BUFFER_REQUIRED,DFF_BUF_RETAINED
