bank,bit,pin,source_pin,destination_pin,route_id,via_count,length,status
precharge,0,BL,array.BL[0],precharge.BL[0],precharge_BL[0]_V41,0,25.185,PASS
precharge,0,BR,array.BR[0],precharge.BR[0],precharge_BR[0]_V41,0,25.185,PASS
precharge,1,BL,array.BL[1],precharge.BL[1],precharge_BL[1]_V41,0,25.185,PASS
precharge,1,BR,array.BR[1],precharge.BR[1],precharge_BR[1]_V41,0,25.185,PASS
precharge,2,BL,array.BL[2],precharge.BL[2],precharge_BL[2]_V41,0,25.185,PASS
precharge,2,BR,array.BR[2],precharge.BR[2],precharge_BR[2]_V41,0,25.185,PASS
precharge,3,BL,array.BL[3],precharge.BL[3],precharge_BL[3]_V41,0,25.185,PASS
precharge,3,BR,array.BR[3],precharge.BR[3],precharge_BR[3]_V41,0,25.185,PASS
precharge,4,BL,array.BL[4],precharge.BL[4],precharge_BL[4]_V41,0,25.185,PASS
precharge,4,BR,array.BR[4],precharge.BR[4],precharge_BR[4]_V41,0,25.185,PASS
precharge,5,BL,array.BL[5],precharge.BL[5],precharge_BL[5]_V41,0,25.185,PASS
precharge,5,BR,array.BR[5],precharge.BR[5],precharge_BR[5]_V41,0,25.185,PASS
precharge,6,BL,array.BL[6],precharge.BL[6],precharge_BL[6]_V41,0,25.185,PASS
precharge,6,BR,array.BR[6],precharge.BR[6],precharge_BR[6]_V41,0,25.185,PASS
precharge,7,BL,array.BL[7],precharge.BL[7],precharge_BL[7]_V41,0,25.185,PASS
precharge,7,BR,array.BR[7],precharge.BR[7],precharge_BR[7]_V41,0,25.185,PASS
precharge,8,BL,array.BL[8],precharge.BL[8],precharge_BL[8]_V41,0,25.185,PASS
precharge,8,BR,array.BR[8],precharge.BR[8],precharge_BR[8]_V41,0,25.185,PASS
precharge,9,BL,array.BL[9],precharge.BL[9],precharge_BL[9]_V41,0,25.185,PASS
precharge,9,BR,array.BR[9],precharge.BR[9],precharge_BR[9]_V41,0,25.185,PASS
precharge,10,BL,array.BL[10],precharge.BL[10],precharge_BL[10]_V41,0,25.185,PASS
precharge,10,BR,array.BR[10],precharge.BR[10],precharge_BR[10]_V41,0,25.185,PASS
precharge,11,BL,array.BL[11],precharge.BL[11],precharge_BL[11]_V41,0,25.185,PASS
precharge,11,BR,array.BR[11],precharge.BR[11],precharge_BR[11]_V41,0,25.185,PASS
precharge,12,BL,array.BL[12],precharge.BL[12],precharge_BL[12]_V41,0,25.185,PASS
precharge,12,BR,array.BR[12],precharge.BR[12],precharge_BR[12]_V41,0,25.185,PASS
precharge,13,BL,array.BL[13],precharge.BL[13],precharge_BL[13]_V41,0,25.185,PASS
precharge,13,BR,array.BR[13],precharge.BR[13],precharge_BR[13]_V41,0,25.185,PASS
precharge,14,BL,array.BL[14],precharge.BL[14],precharge_BL[14]_V41,0,25.185,PASS
precharge,14,BR,array.BR[14],precharge.BR[14],precharge_BR[14]_V41,0,25.185,PASS
precharge,15,BL,array.BL[15],precharge.BL[15],precharge_BL[15]_V41,0,25.185,PASS
precharge,15,BR,array.BR[15],precharge.BR[15],precharge_BR[15]_V41,0,25.185,PASS
sense,0,BL,array.BL[0],sense.BL[0],sense_BL[0]_V41,0,34.62,PASS
sense,0,BR,array.BR[0],sense.BR[0],sense_BR[0]_V41,0,34.62,PASS
sense,1,BL,array.BL[1],sense.BL[1],sense_BL[1]_V41,0,34.62,PASS
sense,1,BR,array.BR[1],sense.BR[1],sense_BR[1]_V41,0,34.62,PASS
sense,2,BL,array.BL[2],sense.BL[2],sense_BL[2]_V41,0,34.62,PASS
sense,2,BR,array.BR[2],sense.BR[2],sense_BR[2]_V41,0,34.62,PASS
sense,3,BL,array.BL[3],sense.BL[3],sense_BL[3]_V41,0,34.62,PASS
sense,3,BR,array.BR[3],sense.BR[3],sense_BR[3]_V41,0,34.62,PASS
sense,4,BL,array.BL[4],sense.BL[4],sense_BL[4]_V41,0,34.62,PASS
sense,4,BR,array.BR[4],sense.BR[4],sense_BR[4]_V41,0,34.62,PASS
sense,5,BL,array.BL[5],sense.BL[5],sense_BL[5]_V41,0,34.62,PASS
sense,5,BR,array.BR[5],sense.BR[5],sense_BR[5]_V41,0,34.62,PASS
sense,6,BL,array.BL[6],sense.BL[6],sense_BL[6]_V41,0,34.62,PASS
