bank,bit,pin,array_x,bank_x,delta_x,array_y,bank_y
precharge,0,BL,72.53,72.485,0.045,58.2,83.385
precharge,0,BR,72.865,72.91,-0.045,58.2,83.385
precharge,1,BL,73.235,73.19,0.045,58.2,83.385
precharge,1,BR,73.57,73.615,-0.045,58.2,83.385
precharge,2,BL,73.94,73.895,0.045,58.2,83.385
precharge,2,BR,74.275,74.32,-0.045,58.2,83.385
precharge,3,BL,74.645,74.6,0.045,58.2,83.385
precharge,3,BR,74.98,75.025,-0.045,58.2,83.385
precharge,4,BL,75.35,75.305,0.045,58.2,83.385
precharge,4,BR,75.685,75.73,-0.045,58.2,83.385
precharge,5,BL,76.055,76.01,0.045,58.2,83.385
precharge,5,BR,76.39,76.435,-0.045,58.2,83.385
precharge,6,BL,76.76,76.715,0.045,58.2,83.385
precharge,6,BR,77.095,77.14,-0.045,58.2,83.385
precharge,7,BL,77.465,77.42,0.045,58.2,83.385
precharge,7,BR,77.8,77.845,-0.045,58.2,83.385
precharge,8,BL,78.17,78.125,0.045,58.2,83.385
precharge,8,BR,78.505,78.55,-0.045,58.2,83.385
precharge,9,BL,78.875,78.83,0.045,58.2,83.385
precharge,9,BR,79.21,79.255,-0.045,58.2,83.385
precharge,10,BL,79.58,79.535,0.045,58.2,83.385
precharge,10,BR,79.915,79.96,-0.045,58.2,83.385
precharge,11,BL,80.285,80.24,0.045,58.2,83.385
precharge,11,BR,80.62,80.665,-0.045,58.2,83.385
precharge,12,BL,80.99,80.945,0.045,58.2,83.385
precharge,12,BR,81.325,81.37,-0.045,58.2,83.385
precharge,13,BL,81.695,81.65,0.045,58.2,83.385
precharge,13,BR,82.03,82.075,-0.045,58.2,83.385
precharge,14,BL,82.4,82.355,0.045,58.2,83.385
precharge,14,BR,82.735,82.78,-0.045,58.2,83.385
precharge,15,BL,83.105,83.06,0.045,58.2,83.385
precharge,15,BR,83.44,83.485,-0.045,58.2,83.385
sense,0,BL,72.53,72.5325,-0.0025,58.2,23.58
sense,0,BR,72.865,72.8625,0.0025,58.2,23.58
sense,1,BL,73.235,73.2375,-0.0025,58.2,23.58
sense,1,BR,73.57,73.5675,0.0025,58.2,23.58
sense,2,BL,73.94,73.9425,-0.0025,58.2,23.58
sense,2,BR,74.275,74.2725,0.0025,58.2,23.58
sense,3,BL,74.645,74.6475,-0.0025,58.2,23.58
sense,3,BR,74.98,74.9775,0.0025,58.2,23.58
sense,4,BL,75.35,75.3525,-0.0025,58.2,23.58
sense,4,BR,75.685,75.6825,0.0025,58.2,23.58
sense,5,BL,76.055,76.0575,-0.0025,58.2,23.58
sense,5,BR,76.39,76.3875,0.0025,58.2,23.58
sense,6,BL,76.76,76.7625,-0.0025,58.2,23.58
sense,6,BR,77.095,77.0925,0.0025,58.2,23.58
sense,7,BL,77.465,77.4675,-0.0025,58.2,23.58
sense,7,BR,77.8,77.7975,0.0025,58.2,23.58
sense,8,BL,78.17,78.1725,-0.0025,58.2,23.58
sense,8,BR,78.505,78.5025,0.0025,58.2,23.58
sense,9,BL,78.875,78.8775,-0.0025,58.2,23.58
sense,9,BR,79.21,79.2075,0.0025,58.2,23.58
sense,10,BL,79.58,79.5825,-0.0025,58.2,23.58
sense,10,BR,79.915,79.9125,0.0025,58.2,23.58
sense,11,BL,80.285,80.2875,-0.0025,58.2,23.58
sense,11,BR,80.62,80.6175,0.0025,58.2,23.58
sense,12,BL,80.99,80.9925,-0.0025,58.2,23.58
sense,12,BR,81.325,81.3225,0.0025,58.2,23.58
sense,13,BL,81.695,81.6975,-0.0025,58.2,23.58
sense,13,BR,82.03,82.0275,0.0025,58.2,23.58
sense,14,BL,82.4,82.4025,-0.0025,58.2,23.58
sense,14,BR,82.735,82.7325,0.0025,58.2,23.58
sense,15,BL,83.105,83.1075,-0.0025,58.2,23.58
sense,15,BR,83.44,83.4375,0.0025,58.2,23.58
