instance,role,x,y,consumer,physical_cell
ADDR_DFF[0],ADDR,-4.0,34.0,decoder.A0,dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
ADDR_DFF[1],ADDR,10.165000000000001,34.0,decoder.A1,dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
ADDR_DFF[2],ADDR,24.330000000000002,34.0,decoder.A2,dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
ADDR_DFF[3],ADDR,38.495,34.0,decoder.A3,dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[0],DATA,55.0,-16.0,write_driver.DIN[0],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[1],DATA,69.165,-16.0,write_driver.DIN[1],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[2],DATA,83.33,-16.0,write_driver.DIN[2],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[3],DATA,97.495,-16.0,write_driver.DIN[3],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[4],DATA,111.66,-16.0,write_driver.DIN[4],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[5],DATA,125.825,-16.0,write_driver.DIN[5],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[6],DATA,139.99,-16.0,write_driver.DIN[6],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[7],DATA,154.155,-16.0,write_driver.DIN[7],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[8],DATA,55.0,-11.2675,write_driver.DIN[8],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[9],DATA,69.165,-11.2675,write_driver.DIN[9],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[10],DATA,83.33,-11.2675,write_driver.DIN[10],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[11],DATA,97.495,-11.2675,write_driver.DIN[11],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[12],DATA,111.66,-11.2675,write_driver.DIN[12],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[13],DATA,125.825,-11.2675,write_driver.DIN[13],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[14],DATA,139.99,-11.2675,write_driver.DIN[14],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
DATA_DFF[15],DATA,154.155,-11.2675,write_driver.DIN[15],dff_core_v41__DFF_TG4_INV7_FPDK45_26d9543b82b7
CS_DFF_BUF,BUFFERED_CONTROL,49.0,17.5,control.gated_clk,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1
WE_DFF_BUF,BUFFERED_CONTROL,70.0,17.5,control.s_en/w_en,control_child_0__DFF_BUF_FPDK45_6058eaf43739_HPA1
