WL,decoder_pin_x,decoder_pin_y,wl_driver_pin_x,wl_driver_pin_y,manhattan_route_length,routed_path_length,via_count,route_id
0,57.0,45.0,63.0,46.1,7.1,7.1,0,DEC_WL_0
1,57.0,45.82,65.9,47.665,10.745,10.745,0,DEC_WL_1
2,57.0,46.64,63.0,49.23,8.59,8.59,0,DEC_WL_2
3,57.0,47.46,65.9,50.795,12.235,12.235,0,DEC_WL_3
4,57.0,48.28,63.0,52.36,10.08,10.08,0,DEC_WL_4
5,57.0,49.1,65.9,53.925,13.725,13.725,0,DEC_WL_5
6,57.0,49.92,63.0,55.49,11.57,11.57,0,DEC_WL_6
7,57.0,50.74,65.9,57.055,15.215,15.215,0,DEC_WL_7
8,57.0,51.56,63.0,58.62,13.06,13.06,0,DEC_WL_8
9,57.0,52.38,65.9,60.185,16.705,16.705,0,DEC_WL_9
10,57.0,53.2,63.0,61.75,14.55,14.55,0,DEC_WL_10
11,57.0,54.02,65.9,63.315,18.195,18.195,0,DEC_WL_11
12,57.0,54.84,63.0,64.88,16.04,16.04,0,DEC_WL_12
13,57.0,55.66,65.9,66.445,19.685,19.685,0,DEC_WL_13
14,57.0,56.48,63.0,68.01,17.53,17.53,0,DEC_WL_14
15,57.0,57.3,65.9,69.575,21.175,21.175,0,DEC_WL_15
