instance,role,x,y,consumer,physical_cell
ADDR_DFF[0],ADDR,0.0,36.0,decoder.A0,bundled_dff
ADDR_DFF[1],ADDR,3.2,36.0,decoder.A1,bundled_dff
ADDR_DFF[2],ADDR,6.4,36.0,decoder.A2,bundled_dff
ADDR_DFF[3],ADDR,9.6,36.0,decoder.A3,bundled_dff
DATA_DFF[0],DATA,68.0,-4.0,write_driver.DIN[0],bundled_dff
DATA_DFF[1],DATA,71.2,-4.0,write_driver.DIN[1],bundled_dff
DATA_DFF[2],DATA,74.4,-4.0,write_driver.DIN[2],bundled_dff
DATA_DFF[3],DATA,77.60000000000001,-4.0,write_driver.DIN[3],bundled_dff
DATA_DFF[4],DATA,80.8,-4.0,write_driver.DIN[4],bundled_dff
DATA_DFF[5],DATA,84.0,-4.0,write_driver.DIN[5],bundled_dff
DATA_DFF[6],DATA,87.2,-4.0,write_driver.DIN[6],bundled_dff
DATA_DFF[7],DATA,90.4,-4.0,write_driver.DIN[7],bundled_dff
DATA_DFF[8],DATA,68.0,-0.9,write_driver.DIN[8],bundled_dff
DATA_DFF[9],DATA,71.2,-0.9,write_driver.DIN[9],bundled_dff
DATA_DFF[10],DATA,74.4,-0.9,write_driver.DIN[10],bundled_dff
DATA_DFF[11],DATA,77.60000000000001,-0.9,write_driver.DIN[11],bundled_dff
DATA_DFF[12],DATA,80.8,-0.9,write_driver.DIN[12],bundled_dff
DATA_DFF[13],DATA,84.0,-0.9,write_driver.DIN[13],bundled_dff
DATA_DFF[14],DATA,87.2,-0.9,write_driver.DIN[14],bundled_dff
DATA_DFF[15],DATA,90.4,-0.9,write_driver.DIN[15],bundled_dff
CS_DFF_BUF,BUFFERED_CONTROL,49.0,17.5,control.gated_clk,DFF_BUF
WE_DFF_BUF,BUFFERED_CONTROL,70.0,17.5,control.s_en/w_en,DFF_BUF
