WL,decoder_output_coordinate,wl_driver_input_coordinate,manhattan_route_length,physical_routed_length,via_count
0,P2_label,wl_driver_0,3.0,3.0,0
1,P2_label,wl_driver_1,5.9,5.9,0
2,P2_label,wl_driver_2,3.0,3.0,0
3,P2_label,wl_driver_3,5.9,5.9,0
4,P2_label,wl_driver_4,3.0,3.0,0
5,P2_label,wl_driver_5,5.9,5.9,0
6,P2_label,wl_driver_6,3.0,3.0,0
7,P2_label,wl_driver_7,5.9,5.9,0
8,P2_label,wl_driver_8,3.0,3.0,0
9,P2_label,wl_driver_9,5.9,5.9,0
10,P2_label,wl_driver_10,3.0,3.0,0
11,P2_label,wl_driver_11,5.9,5.9,0
12,P2_label,wl_driver_12,3.0,3.0,0
13,P2_label,wl_driver_13,5.9,5.9,0
14,P2_label,wl_driver_14,3.0,3.0,0
15,P2_label,wl_driver_15,5.9,5.9,0
