instance,selected_cell,nonzero_spacing_reason,sink_aware_route
control_dff_0,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_1,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_2,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_3,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_4,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_5,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_6,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_7,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_8,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_9,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_10,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_11,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_12,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_13,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_14,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_15,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_16,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_17,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_18,DFF_CORE,semantic route channel / inherited source placement,PASS
control_dff_19,DFF_CORE,semantic route channel / inherited source placement,PASS
