instance,role,consumer,physical_cell
addr_dff_0,ADDR_DFF[0],decoder,DFF_TG4_INV7_CORE
addr_dff_1,ADDR_DFF[1],decoder,DFF_TG4_INV7_CORE
addr_dff_2,ADDR_DFF[2],decoder,DFF_TG4_INV7_CORE
addr_dff_3,ADDR_DFF[3],decoder,DFF_TG4_INV7_CORE
data_dff_0,DATA_DFF[0],write_driver,DFF_TG4_INV7_CORE
data_dff_1,DATA_DFF[1],write_driver,DFF_TG4_INV7_CORE
data_dff_2,DATA_DFF[2],write_driver,DFF_TG4_INV7_CORE
data_dff_3,DATA_DFF[3],write_driver,DFF_TG4_INV7_CORE
data_dff_4,DATA_DFF[4],write_driver,DFF_TG4_INV7_CORE
data_dff_5,DATA_DFF[5],write_driver,DFF_TG4_INV7_CORE
data_dff_6,DATA_DFF[6],write_driver,DFF_TG4_INV7_CORE
data_dff_7,DATA_DFF[7],write_driver,DFF_TG4_INV7_CORE
data_dff_8,DATA_DFF[8],write_driver,DFF_TG4_INV7_CORE
data_dff_9,DATA_DFF[9],write_driver,DFF_TG4_INV7_CORE
data_dff_10,DATA_DFF[10],write_driver,DFF_TG4_INV7_CORE
data_dff_11,DATA_DFF[11],write_driver,DFF_TG4_INV7_CORE
data_dff_12,DATA_DFF[12],write_driver,DFF_TG4_INV7_CORE
data_dff_13,DATA_DFF[13],write_driver,DFF_TG4_INV7_CORE
data_dff_14,DATA_DFF[14],write_driver,DFF_TG4_INV7_CORE
data_dff_15,DATA_DFF[15],write_driver,DFF_TG4_INV7_CORE
dff_buf,CS_DFF_BUF,gated_clk,DFF_BUF
dff_buf1,WE_DFF_BUF,s_en/w_en,DFF_BUF
