path,bit,source,destination,length,status
ROW_PATH_SEMANTIC_CONNECTIVITY,0,ADDR_DFF[0].Q,decoder.A0,194.9525,PASS
ROW_PATH_SEMANTIC_CONNECTIVITY,1,ADDR_DFF[1].Q,decoder.A1,192.5475,PASS
ROW_PATH_SEMANTIC_CONNECTIVITY,2,ADDR_DFF[2].Q,decoder.A2,218.0975,PASS
ROW_PATH_SEMANTIC_CONNECTIVITY,3,ADDR_DFF[3].Q,decoder.A3,243.6475,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,0,DATA_DFF[0].Q,write_driver.DIN[0],220.0825,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,1,DATA_DFF[1].Q,write_driver.DIN[1],198.3875,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,2,DATA_DFF[2].Q,write_driver.DIN[2],176.6925,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,3,DATA_DFF[3].Q,write_driver.DIN[3],156.8125,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,4,DATA_DFF[4].Q,write_driver.DIN[4],220.8025,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,5,DATA_DFF[5].Q,write_driver.DIN[5],199.1075,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,6,DATA_DFF[6].Q,write_driver.DIN[6],177.4125,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,7,DATA_DFF[7].Q,write_driver.DIN[7],155.7175,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,8,DATA_DFF[8].Q,write_driver.DIN[8],221.5225,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,9,DATA_DFF[9].Q,write_driver.DIN[9],199.8275,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,10,DATA_DFF[10].Q,write_driver.DIN[10],178.1325,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,11,DATA_DFF[11].Q,write_driver.DIN[11],156.4375,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,12,DATA_DFF[12].Q,write_driver.DIN[12],222.2425,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,13,DATA_DFF[13].Q,write_driver.DIN[13],200.5475,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,14,DATA_DFF[14].Q,write_driver.DIN[14],178.8525,PASS
DATA_WRITE_PATH_SEMANTIC_CONNECTIVITY,15,DATA_DFF[15].Q,write_driver.DIN[15],157.1575,PASS
