left,right,zero_gap_allowed,min_legal_gap_um,same_net_rail_continuity,boundary_drc,foreign_net_clean,pin_access_retained
AND2,AND2,False,0.5,parent_strap_required,True,True,True
AND2,AND3,False,0.5,parent_strap_required,True,True,True
AND2,DFF_BUF,False,0.5,parent_strap_required,True,True,True
AND2,PINV,False,0.5,parent_strap_required,True,True,True
AND2,PNAND3,False,0.5,parent_strap_required,True,True,True
AND2,delay_chain,False,0.5,parent_strap_required,True,True,True
AND2,pdrive,False,0.5,parent_strap_required,True,True,True
AND2,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
AND2,wl_pdrive,False,0.5,parent_strap_required,True,True,True
AND3,AND2,False,0.5,parent_strap_required,True,True,True
AND3,AND3,False,0.5,parent_strap_required,True,True,True
AND3,DFF_BUF,False,0.5,parent_strap_required,True,True,True
AND3,PINV,False,0.5,parent_strap_required,True,True,True
AND3,PNAND3,False,0.5,parent_strap_required,True,True,True
AND3,delay_chain,False,0.5,parent_strap_required,True,True,True
AND3,pdrive,False,0.5,parent_strap_required,True,True,True
AND3,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
AND3,wl_pdrive,False,0.5,parent_strap_required,True,True,True
DFF_BUF,AND2,False,0.5,parent_strap_required,True,True,True
DFF_BUF,AND3,False,0.5,parent_strap_required,True,True,True
DFF_BUF,DFF_BUF,False,0.5,parent_strap_required,True,True,True
DFF_BUF,PINV,False,0.5,parent_strap_required,True,True,True
DFF_BUF,PNAND3,False,0.5,parent_strap_required,True,True,True
DFF_BUF,delay_chain,False,0.5,parent_strap_required,True,True,True
DFF_BUF,pdrive,False,0.5,parent_strap_required,True,True,True
DFF_BUF,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
DFF_BUF,wl_pdrive,False,0.5,parent_strap_required,True,True,True
PINV,AND2,False,0.5,parent_strap_required,True,True,True
PINV,AND3,False,0.5,parent_strap_required,True,True,True
PINV,DFF_BUF,False,0.5,parent_strap_required,True,True,True
PINV,PINV,False,0.5,parent_strap_required,True,True,True
PINV,PNAND3,False,0.5,parent_strap_required,True,True,True
PINV,delay_chain,False,0.5,parent_strap_required,True,True,True
PINV,pdrive,False,0.5,parent_strap_required,True,True,True
PINV,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
PINV,wl_pdrive,False,0.5,parent_strap_required,True,True,True
PNAND3,AND2,False,0.5,parent_strap_required,True,True,True
PNAND3,AND3,False,0.5,parent_strap_required,True,True,True
PNAND3,DFF_BUF,False,0.5,parent_strap_required,True,True,True
PNAND3,PINV,False,0.5,parent_strap_required,True,True,True
PNAND3,PNAND3,False,0.5,parent_strap_required,True,True,True
PNAND3,delay_chain,False,0.5,parent_strap_required,True,True,True
PNAND3,pdrive,False,0.5,parent_strap_required,True,True,True
PNAND3,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
PNAND3,wl_pdrive,False,0.5,parent_strap_required,True,True,True
delay_chain,AND2,False,0.5,parent_strap_required,True,True,True
delay_chain,AND3,False,0.5,parent_strap_required,True,True,True
delay_chain,DFF_BUF,False,0.5,parent_strap_required,True,True,True
delay_chain,PINV,False,0.5,parent_strap_required,True,True,True
delay_chain,PNAND3,False,0.5,parent_strap_required,True,True,True
delay_chain,delay_chain,False,0.5,parent_strap_required,True,True,True
delay_chain,pdrive,False,0.5,parent_strap_required,True,True,True
delay_chain,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
delay_chain,wl_pdrive,False,0.5,parent_strap_required,True,True,True
pdrive,AND2,False,0.5,parent_strap_required,True,True,True
pdrive,AND3,False,0.5,parent_strap_required,True,True,True
pdrive,DFF_BUF,False,0.5,parent_strap_required,True,True,True
pdrive,PINV,False,0.5,parent_strap_required,True,True,True
pdrive,PNAND3,False,0.5,parent_strap_required,True,True,True
pdrive,delay_chain,False,0.5,parent_strap_required,True,True,True
pdrive,pdrive,False,0.5,parent_strap_required,True,True,True
pdrive,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
pdrive,wl_pdrive,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,AND2,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,AND3,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,DFF_BUF,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,PINV,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,PNAND3,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,delay_chain,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,pdrive,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
pdrive2_for_pre,wl_pdrive,False,0.5,parent_strap_required,True,True,True
wl_pdrive,AND2,False,0.5,parent_strap_required,True,True,True
wl_pdrive,AND3,False,0.5,parent_strap_required,True,True,True
wl_pdrive,DFF_BUF,False,0.5,parent_strap_required,True,True,True
wl_pdrive,PINV,False,0.5,parent_strap_required,True,True,True
wl_pdrive,PNAND3,False,0.5,parent_strap_required,True,True,True
wl_pdrive,delay_chain,False,0.5,parent_strap_required,True,True,True
wl_pdrive,pdrive,False,0.5,parent_strap_required,True,True,True
wl_pdrive,pdrive2_for_pre,False,0.5,parent_strap_required,True,True,True
wl_pdrive,wl_pdrive,False,0.5,parent_strap_required,True,True,True
