module,orientation,pin_transform,power_polarity,drc,pin_access,legal,rejection_reason
AND2,R0,True,True,True,True,True,
AND2,MX,True,True,True,True,True,
AND2,MY,True,True,True,True,True,
AND2,R180,True,True,True,True,True,
AND2,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
AND2,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
AND3,R0,True,True,True,True,True,
AND3,MX,True,True,True,True,True,
AND3,MY,True,True,True,True,True,
AND3,R180,True,True,True,True,True,
AND3,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
AND3,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
DFF_BUF,R0,True,True,True,True,True,
DFF_BUF,MX,True,True,True,True,True,
DFF_BUF,MY,True,True,True,True,True,
DFF_BUF,R180,True,True,True,True,True,
DFF_BUF,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
DFF_BUF,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
PINV,R0,True,True,True,True,True,
PINV,MX,True,True,True,True,True,
PINV,MY,True,True,True,True,True,
PINV,R180,True,True,True,True,True,
PINV,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
PINV,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
PNAND3,R0,True,True,True,True,True,
PNAND3,MX,True,True,True,True,True,
PNAND3,MY,True,True,True,True,True,
PNAND3,R180,True,True,True,True,True,
PNAND3,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
PNAND3,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
delay_chain,R0,True,True,True,True,True,
delay_chain,MX,True,True,True,True,True,
delay_chain,MY,True,True,True,True,True,
delay_chain,R180,True,True,True,True,True,
delay_chain,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
delay_chain,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
pdrive,R0,True,True,True,True,True,
pdrive,MX,True,True,True,True,True,
pdrive,MY,True,True,True,True,True,
pdrive,R180,True,True,True,True,True,
pdrive,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
pdrive,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
pdrive2_for_pre,R0,True,True,True,True,True,
pdrive2_for_pre,MX,True,True,True,True,True,
pdrive2_for_pre,MY,True,True,True,True,True,
pdrive2_for_pre,R180,True,True,True,True,True,
pdrive2_for_pre,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
pdrive2_for_pre,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
wl_pdrive,R0,True,True,True,True,True,
wl_pdrive,MX,True,True,True,True,True,
wl_pdrive,MY,True,True,True,True,True,
wl_pdrive,R180,True,True,True,True,True,
wl_pdrive,R90,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
wl_pdrive,R270,False,False,False,False,False,RIGID_VERTICAL_NOT_IN_CONTRACT
