layer,net,route_id,bbox,spacing_halo
metal3,A0,A0_1,"[0.03, 4.8125, 0.17, 228.175]",0.14
metal3,A0,A0_1,"[-4.0, 228.105, 0.1, 228.245]",0.14
metal3,A0,A0_1,"[-4.07, 1.5, -3.93, 228.175]",0.14
metal4,A1,A1_1,"[0.03, 14.8125, 0.17, 229.05]",0.14
metal4,A1,A1_1,"[-4.0, 228.98, 0.1, 229.12]",0.14
metal4,A1,A1_1,"[-4.07, 2.5, -3.93, 229.05]",0.14
metal5,A2,A2_1,"[0.03, 24.8125, 0.17, 229.925]",0.14
metal5,A2,A2_1,"[-4.0, 229.855, 0.1, 229.995]",0.14
metal5,A2,A2_1,"[-4.07, 3.5, -3.93, 229.925]",0.14
metal6,A3,A3_1,"[0.03, 34.8125, 0.17, 230.1]",0.14
metal6,A3,A3_1,"[-4.0, 230.03, 0.1, 230.17]",0.14
metal6,A3,A3_1,"[-4.07, 4.5, -3.93, 230.1]",0.14
metal3,A_dff0,A_dff0_1,"[18.145, 5.4425, 18.285, 230.975]",0.14
metal3,A_dff0,A_dff0_1,"[18.215, 230.905, 260.0, 231.045]",0.14
metal3,A_dff0,A_dff0_1,"[259.93, 1.5, 260.07, 230.975]",0.14
metal4,A_dff1,A_dff1_1,"[18.145, 15.4425, 18.285, 231.85]",0.14
metal4,A_dff1,A_dff1_1,"[18.215, 231.78, 260.0, 231.92]",0.14
metal4,A_dff1,A_dff1_1,"[259.93, 2.5, 260.07, 231.85]",0.14
metal5,A_dff2,A_dff2_1,"[18.145, 25.4425, 18.285, 232.725]",0.14
metal5,A_dff2,A_dff2_1,"[18.215, 232.655, 260.0, 232.795]",0.14
metal5,A_dff2,A_dff2_1,"[259.93, 3.5, 260.07, 232.725]",0.14
metal6,A_dff3,A_dff3_1,"[18.145, 35.4425, 18.285, 232.9]",0.14
metal6,A_dff3,A_dff3_1,"[18.215, 232.83, 260.0, 232.97]",0.14
metal6,A_dff3,A_dff3_1,"[259.93, 4.5, 260.07, 232.9]",0.14
metal3,DIN0,DIN0_1,"[0.03, 44.8125, 0.17, 233.775]",0.14
metal3,DIN0,DIN0_1,"[0.1, 233.705, 4.0, 233.845]",0.14
metal3,DIN0,DIN0_1,"[3.93, -3.0, 4.07, 233.775]",0.14
metal4,DIN1,DIN1_1,"[0.03, 54.8125, 0.17, 234.65]",0.14
metal4,DIN1,DIN1_1,"[0.1, 234.58, 5.0, 234.72]",0.14
metal4,DIN1,DIN1_1,"[4.93, -3.0, 5.07, 234.65]",0.14
metal5,DIN10,DIN10_1,"[0.03, 144.8125, 0.17, 235.525]",0.14
metal5,DIN10,DIN10_1,"[0.1, 235.455, 14.0, 235.595]",0.14
metal5,DIN10,DIN10_1,"[13.93, -3.0, 14.07, 235.525]",0.14
metal6,DIN11,DIN11_1,"[0.03, 154.8125, 0.17, 235.7]",0.14
metal6,DIN11,DIN11_1,"[0.1, 235.63, 15.0, 235.77]",0.14
metal6,DIN11,DIN11_1,"[14.93, -3.0, 15.07, 235.7]",0.14
metal3,DIN12,DIN12_1,"[0.03, 164.8125, 0.17, 236.575]",0.14
metal3,DIN12,DIN12_1,"[0.1, 236.505, 16.0, 236.645]",0.14
metal3,DIN12,DIN12_1,"[15.93, -3.0, 16.07, 236.575]",0.14
metal4,DIN13,DIN13_1,"[0.03, 174.8125, 0.17, 237.45]",0.14
metal4,DIN13,DIN13_1,"[0.1, 237.38, 17.0, 237.52]",0.14
metal4,DIN13,DIN13_1,"[16.93, -3.0, 17.07, 237.45]",0.14
metal5,DIN14,DIN14_1,"[0.03, 184.8125, 0.17, 238.325]",0.14
metal5,DIN14,DIN14_1,"[0.1, 238.255, 18.0, 238.395]",0.14
metal5,DIN14,DIN14_1,"[17.93, -3.0, 18.07, 238.325]",0.14
metal6,DIN15,DIN15_1,"[0.03, 194.8125, 0.17, 238.5]",0.14
metal6,DIN15,DIN15_1,"[0.1, 238.43, 19.0, 238.57]",0.14
metal6,DIN15,DIN15_1,"[18.93, -3.0, 19.07, 238.5]",0.14
metal3,DIN2,DIN2_1,"[0.03, 64.8125, 0.17, 239.375]",0.14
metal3,DIN2,DIN2_1,"[0.1, 239.305, 6.0, 239.445]",0.14
metal3,DIN2,DIN2_1,"[5.93, -3.0, 6.07, 239.375]",0.14
