instance,logical_module,physical_module,physical_cell,source_top_cell,gds_path,gds_sha,x,y,orientation,row,col,child_sha_match
addr_dff_0,ADDR_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__addr_dff_0__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,0.0,R0,0,1,True
addr_dff_1,ADDR_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__addr_dff_1__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,10.0,R0,1,1,True
addr_dff_2,ADDR_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__addr_dff_2__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,20.0,R0,2,1,True
addr_dff_3,ADDR_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__addr_dff_3__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,30.0,R0,3,1,True
data_dff_0,DATA_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__data_dff_0__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,40.0,R0,4,1,True
data_dff_1,DATA_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__data_dff_1__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,50.0,R0,5,1,True
data_dff_2,DATA_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__data_dff_2__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,60.0,R0,6,1,True
data_dff_3,DATA_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__data_dff_3__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,70.0,R0,7,1,True
data_dff_4,DATA_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__data_dff_4__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,80.0,R0,8,1,True
data_dff_5,DATA_DFF_BIT,DFF_BUF,C2_TIMING_CHAIN_ORIENTED__data_dff_5__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,28.0,90.0,R0,9,1,True
