net,source,destination,witness_path_shape_count,witness_path_via_count,passed
A0,addr_dff_0.D,parent_A0.A0,3,0,True
A1,addr_dff_1.D,parent_A1.A1,3,0,True
A2,addr_dff_2.D,parent_A2.A2,3,0,True
A3,addr_dff_3.D,parent_A3.A3,3,0,True
A_dff0,addr_dff_0.Q,parent_A_dff0.A_dff0,3,0,True
A_dff1,addr_dff_1.Q,parent_A_dff1.A_dff1,3,0,True
A_dff2,addr_dff_2.Q,parent_A_dff2.A_dff2,3,0,True
A_dff3,addr_dff_3.Q,parent_A_dff3.A_dff3,3,0,True
DIN0,data_dff_0.D,parent_DIN0.DIN0,3,0,True
DIN1,data_dff_1.D,parent_DIN1.DIN1,3,0,True
DIN10,data_dff_10.D,parent_DIN10.DIN10,3,0,True
DIN11,data_dff_11.D,parent_DIN11.DIN11,3,0,True
DIN12,data_dff_12.D,parent_DIN12.DIN12,3,0,True
DIN13,data_dff_13.D,parent_DIN13.DIN13,3,0,True
DIN14,data_dff_14.D,parent_DIN14.DIN14,3,0,True
DIN15,data_dff_15.D,parent_DIN15.DIN15,3,0,True
DIN2,data_dff_2.D,parent_DIN2.DIN2,3,0,True
DIN3,data_dff_3.D,parent_DIN3.DIN3,3,0,True
DIN4,data_dff_4.D,parent_DIN4.DIN4,3,0,True
DIN5,data_dff_5.D,parent_DIN5.DIN5,3,0,True
DIN6,data_dff_6.D,parent_DIN6.DIN6,3,0,True
DIN7,data_dff_7.D,parent_DIN7.DIN7,3,0,True
DIN8,data_dff_8.D,parent_DIN8.DIN8,3,0,True
DIN9,data_dff_9.D,parent_DIN9.DIN9,3,0,True
DIN_dff0,data_dff_0.Q,parent_DIN_dff0.DIN_dff0,3,0,True
DIN_dff1,data_dff_1.Q,parent_DIN_dff1.DIN_dff1,3,0,True
DIN_dff10,data_dff_10.Q,parent_DIN_dff10.DIN_dff10,3,0,True
DIN_dff11,data_dff_11.Q,parent_DIN_dff11.DIN_dff11,3,0,True
DIN_dff12,data_dff_12.Q,parent_DIN_dff12.DIN_dff12,3,0,True
DIN_dff13,data_dff_13.Q,parent_DIN_dff13.DIN_dff13,3,0,True
DIN_dff14,data_dff_14.Q,parent_DIN_dff14.DIN_dff14,3,0,True
DIN_dff15,data_dff_15.Q,parent_DIN_dff15.DIN_dff15,3,0,True
DIN_dff2,data_dff_2.Q,parent_DIN_dff2.DIN_dff2,3,0,True
DIN_dff3,data_dff_3.Q,parent_DIN_dff3.DIN_dff3,3,0,True
DIN_dff4,data_dff_4.Q,parent_DIN_dff4.DIN_dff4,3,0,True
DIN_dff5,data_dff_5.Q,parent_DIN_dff5.DIN_dff5,3,0,True
DIN_dff6,data_dff_6.Q,parent_DIN_dff6.DIN_dff6,3,0,True
DIN_dff7,data_dff_7.Q,parent_DIN_dff7.DIN_dff7,3,0,True
DIN_dff8,data_dff_8.Q,parent_DIN_dff8.DIN_dff8,3,0,True
DIN_dff9,data_dff_9.Q,parent_DIN_dff9.DIN_dff9,3,0,True
PRE,pre.Z,parent_PRE.PRE,3,0,True
PRE_UNBUF,pre_unbuf.Z,pre.A,3,0,True
clk,clkbuf.A,parent_clk.clk,3,0,True
clk_bar,inv_clk_bar.Z,and2_gated_clk_bar.B,3,0,True
clk_buf,addr_dff_0.CLK,addr_dff_1.CLK,3,0,True
clk_buf,addr_dff_0.CLK,addr_dff_2.CLK,3,0,True
clk_buf,addr_dff_0.CLK,addr_dff_3.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_0.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_1.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_2.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_3.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_4.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_5.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_6.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_7.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_8.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_9.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_10.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_11.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_12.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_13.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_14.CLK,3,0,True
clk_buf,addr_dff_0.CLK,data_dff_15.CLK,3,0,True
clk_buf,addr_dff_0.CLK,clkbuf.Z,3,0,True
clk_buf,addr_dff_0.CLK,inv_clk_bar.A,3,0,True
clk_buf,addr_dff_0.CLK,dff_buf.CLK,3,0,True
clk_buf,addr_dff_0.CLK,dff_buf1.CLK,3,0,True
clk_buf,addr_dff_0.CLK,and2_gated_clk_buf.B,3,0,True
cs,dff_buf.QB,and2_gated_clk_bar.A,3,0,True
cs,dff_buf.QB,and2_gated_clk_buf.A,3,0,True
csb,dff_buf.D,parent_csb.csb,3,0,True
gated_clk_bar,and2_gated_clk_bar.Z,wl_en.A,3,0,True
gated_clk_bar,and2_gated_clk_bar.Z,w_en.B,3,0,True
gated_clk_bar,and2_gated_clk_bar.Z,s_en.B,3,0,True
gated_clk_buf,and2_gated_clk_buf.Z,pre_unbuf.A,3,0,True
rbl,delaychain.in,parent_rbl.rbl,3,0,True
rbl_delay,delaychain.out,inv_rbl_delay_bar.A,3,0,True
rbl_delay,delaychain.out,s_en.A,3,0,True
rbl_delay,delaychain.out,pre_unbuf.B,3,0,True
s_en,s_en.Z,parent_S_EN.S_EN,3,0,True
w_en,w_en.Z,parent_W_EN.W_EN,3,0,True
we,dff_buf1.QB,w_en.C,3,0,True
we_bar,dff_buf1.Q,s_en.C,3,0,True
web,dff_buf1.D,parent_web.web,3,0,True
wl_en,wl_en.Z,inv_wl_en_bar.A,3,0,True
wl_en,wl_en.Z,parent_WL_EN.WL_EN,3,0,True
