layer,net,route_id,bbox,spacing_halo
metal3,A0,A0_1,"[0.03, 4.8125, 0.17, 186.175]",0.14
metal3,A0,A0_1,"[-4.0, 186.105, 0.1, 186.245]",0.14
metal3,A0,A0_1,"[-4.07, 1.5, -3.93, 186.175]",0.14
metal4,A1,A1_1,"[0.03, 11.8125, 0.17, 187.05]",0.14
metal4,A1,A1_1,"[-4.0, 186.98, 0.1, 187.12]",0.14
metal4,A1,A1_1,"[-4.07, 2.5, -3.93, 187.05]",0.14
metal5,A2,A2_1,"[0.03, 18.8125, 0.17, 187.925]",0.14
metal5,A2,A2_1,"[-4.0, 187.855, 0.1, 187.995]",0.14
metal5,A2,A2_1,"[-4.07, 3.5, -3.93, 187.925]",0.14
metal6,A3,A3_1,"[0.03, 25.8125, 0.17, 188.1]",0.14
metal6,A3,A3_1,"[-4.0, 188.03, 0.1, 188.17]",0.14
metal6,A3,A3_1,"[-4.07, 4.5, -3.93, 188.1]",0.14
metal3,A_dff0,A_dff0_1,"[18.145, 5.4425, 18.285, 188.975]",0.14
metal3,A_dff0,A_dff0_1,"[18.215, 188.905, 148.0, 189.045]",0.14
metal3,A_dff0,A_dff0_1,"[147.93, 1.5, 148.07, 188.975]",0.14
metal4,A_dff1,A_dff1_1,"[18.145, 12.4425, 18.285, 189.85]",0.14
metal4,A_dff1,A_dff1_1,"[18.215, 189.78, 148.0, 189.92]",0.14
metal4,A_dff1,A_dff1_1,"[147.93, 2.5, 148.07, 189.85]",0.14
metal5,A_dff2,A_dff2_1,"[18.145, 19.4425, 18.285, 190.725]",0.14
metal5,A_dff2,A_dff2_1,"[18.215, 190.655, 148.0, 190.795]",0.14
metal5,A_dff2,A_dff2_1,"[147.93, 3.5, 148.07, 190.725]",0.14
metal6,A_dff3,A_dff3_1,"[18.145, 26.4425, 18.285, 190.9]",0.14
metal6,A_dff3,A_dff3_1,"[18.215, 190.83, 148.0, 190.97]",0.14
metal6,A_dff3,A_dff3_1,"[147.93, 4.5, 148.07, 190.9]",0.14
metal3,DIN0,DIN0_1,"[0.03, 32.8125, 0.17, 191.775]",0.14
metal3,DIN0,DIN0_1,"[0.1, 191.705, 4.0, 191.845]",0.14
metal3,DIN0,DIN0_1,"[3.93, -3.0, 4.07, 191.775]",0.14
metal4,DIN1,DIN1_1,"[0.03, 39.8125, 0.17, 192.65]",0.14
metal4,DIN1,DIN1_1,"[0.1, 192.58, 5.0, 192.72]",0.14
metal4,DIN1,DIN1_1,"[4.93, -3.0, 5.07, 192.65]",0.14
metal5,DIN10,DIN10_1,"[0.03, 102.8125, 0.17, 193.525]",0.14
metal5,DIN10,DIN10_1,"[0.1, 193.455, 14.0, 193.595]",0.14
metal5,DIN10,DIN10_1,"[13.93, -3.0, 14.07, 193.525]",0.14
metal6,DIN11,DIN11_1,"[0.03, 109.8125, 0.17, 193.7]",0.14
metal6,DIN11,DIN11_1,"[0.1, 193.63, 15.0, 193.77]",0.14
metal6,DIN11,DIN11_1,"[14.93, -3.0, 15.07, 193.7]",0.14
metal3,DIN12,DIN12_1,"[0.03, 116.8125, 0.17, 194.575]",0.14
metal3,DIN12,DIN12_1,"[0.1, 194.505, 16.0, 194.645]",0.14
metal3,DIN12,DIN12_1,"[15.93, -3.0, 16.07, 194.575]",0.14
metal4,DIN13,DIN13_1,"[0.03, 123.8125, 0.17, 195.45]",0.14
metal4,DIN13,DIN13_1,"[0.1, 195.38, 17.0, 195.52]",0.14
metal4,DIN13,DIN13_1,"[16.93, -3.0, 17.07, 195.45]",0.14
metal5,DIN14,DIN14_1,"[0.03, 130.8125, 0.17, 196.325]",0.14
metal5,DIN14,DIN14_1,"[0.1, 196.255, 18.0, 196.395]",0.14
metal5,DIN14,DIN14_1,"[17.93, -3.0, 18.07, 196.325]",0.14
metal6,DIN15,DIN15_1,"[0.03, 137.8125, 0.17, 196.5]",0.14
metal6,DIN15,DIN15_1,"[0.1, 196.43, 19.0, 196.57]",0.14
metal6,DIN15,DIN15_1,"[18.93, -3.0, 19.07, 196.5]",0.14
metal3,DIN2,DIN2_1,"[0.03, 46.8125, 0.17, 197.375]",0.14
metal3,DIN2,DIN2_1,"[0.1, 197.305, 6.0, 197.445]",0.14
metal3,DIN2,DIN2_1,"[5.93, -3.0, 6.07, 197.375]",0.14
metal4,DIN3,DIN3_1,"[0.03, 53.8125, 0.17, 198.25]",0.14
metal4,DIN3,DIN3_1,"[0.1, 198.18, 7.0, 198.32]",0.14
metal4,DIN3,DIN3_1,"[6.93, -3.0, 7.07, 198.25]",0.14
metal5,DIN4,DIN4_1,"[0.03, 60.8125, 0.17, 199.125]",0.14
metal5,DIN4,DIN4_1,"[0.1, 199.055, 8.0, 199.195]",0.14
metal5,DIN4,DIN4_1,"[7.93, -3.0, 8.07, 199.125]",0.14
metal6,DIN5,DIN5_1,"[0.03, 67.8125, 0.17, 199.3]",0.14
metal6,DIN5,DIN5_1,"[0.1, 199.23, 9.0, 199.37]",0.14
metal6,DIN5,DIN5_1,"[8.93, -3.0, 9.07, 199.3]",0.14
metal3,DIN6,DIN6_1,"[0.03, 74.8125, 0.17, 200.175]",0.14
metal3,DIN6,DIN6_1,"[0.1, 200.105, 10.0, 200.245]",0.14
metal3,DIN6,DIN6_1,"[9.93, -3.0, 10.07, 200.175]",0.14
metal4,DIN7,DIN7_1,"[0.03, 81.8125, 0.17, 201.05]",0.14
metal4,DIN7,DIN7_1,"[0.1, 200.98, 11.0, 201.12]",0.14
metal4,DIN7,DIN7_1,"[10.93, -3.0, 11.07, 201.05]",0.14
metal5,DIN8,DIN8_1,"[0.03, 88.8125, 0.17, 201.925]",0.14
metal5,DIN8,DIN8_1,"[0.1, 201.855, 12.0, 201.995]",0.14
metal5,DIN8,DIN8_1,"[11.93, -3.0, 12.07, 201.925]",0.14
metal6,DIN9,DIN9_1,"[0.03, 95.8125, 0.17, 202.1]",0.14
metal6,DIN9,DIN9_1,"[0.1, 202.03, 13.0, 202.17]",0.14
metal6,DIN9,DIN9_1,"[12.93, -3.0, 13.07, 202.1]",0.14
metal3,DIN_dff0,DIN_dff0_1,"[18.145, 33.4425, 18.285, 202.975]",0.14
metal3,DIN_dff0,DIN_dff0_1,"[4.0, 202.905, 18.215, 203.045]",0.14
metal3,DIN_dff0,DIN_dff0_1,"[3.93, 183.0, 4.07, 202.975]",0.14
metal4,DIN_dff1,DIN_dff1_1,"[18.145, 40.4425, 18.285, 203.85]",0.14
metal4,DIN_dff1,DIN_dff1_1,"[5.0, 203.78, 18.215, 203.92]",0.14
metal4,DIN_dff1,DIN_dff1_1,"[4.93, 183.0, 5.07, 203.85]",0.14
metal5,DIN_dff10,DIN_dff10_1,"[18.145, 103.4425, 18.285, 204.725]",0.14
metal5,DIN_dff10,DIN_dff10_1,"[14.0, 204.655, 18.215, 204.795]",0.14
metal5,DIN_dff10,DIN_dff10_1,"[13.93, 183.0, 14.07, 204.725]",0.14
metal6,DIN_dff11,DIN_dff11_1,"[18.145, 110.4425, 18.285, 204.9]",0.14
metal6,DIN_dff11,DIN_dff11_1,"[15.0, 204.83, 18.215, 204.97]",0.14
metal6,DIN_dff11,DIN_dff11_1,"[14.93, 183.0, 15.07, 204.9]",0.14
metal3,DIN_dff12,DIN_dff12_1,"[18.145, 117.4425, 18.285, 205.775]",0.14
metal3,DIN_dff12,DIN_dff12_1,"[16.0, 205.705, 18.215, 205.845]",0.14
metal3,DIN_dff12,DIN_dff12_1,"[15.93, 183.0, 16.07, 205.775]",0.14
metal4,DIN_dff13,DIN_dff13_1,"[18.145, 124.4425, 18.285, 206.65]",0.14
metal4,DIN_dff13,DIN_dff13_1,"[17.0, 206.58, 18.215, 206.72]",0.14
metal4,DIN_dff13,DIN_dff13_1,"[16.93, 183.0, 17.07, 206.65]",0.14
metal5,DIN_dff14,DIN_dff14_1,"[18.145, 131.4425, 18.285, 207.525]",0.14
metal5,DIN_dff14,DIN_dff14_1,"[18.0, 207.455, 18.215, 207.595]",0.14
metal5,DIN_dff14,DIN_dff14_1,"[17.93, 183.0, 18.07, 207.525]",0.14
metal6,DIN_dff15,DIN_dff15_1,"[18.145, 138.4425, 18.285, 207.7]",0.14
metal6,DIN_dff15,DIN_dff15_1,"[18.215, 207.63, 19.0, 207.77]",0.14
metal6,DIN_dff15,DIN_dff15_1,"[18.93, 183.0, 19.07, 207.7]",0.14
