instance,logical_module,physical_module,physical_cell,source_top_cell,gds_path,gds_sha,x,y,orientation,row,col,child_sha_match
addr_dff_0,ADDR_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__addr_dff_0__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,0.0,R0,0,0,True
addr_dff_1,ADDR_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__addr_dff_1__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,7.0,R0,1,0,True
addr_dff_2,ADDR_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__addr_dff_2__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,14.0,R0,2,0,True
addr_dff_3,ADDR_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__addr_dff_3__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,21.0,R0,3,0,True
data_dff_0,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_0__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,28.0,R0,4,0,True
data_dff_1,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_1__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,35.0,R0,5,0,True
data_dff_2,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_2__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,42.0,R0,6,0,True
data_dff_3,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_3__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,49.0,R0,7,0,True
data_dff_4,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_4__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,56.0,R0,8,0,True
data_dff_5,DATA_DFF_BIT,DFF_BUF,C3_POWER_ROW_ABUTMENT_AWARE__data_dff_5__DFF_BUF,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,0.0,63.0,R0,9,0,True
